technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,14181.865435979991,13935.055274237948,13688.245112495897,13441.434950753845,13194.624789011792,12947.814627269741,12701.00446552769,12454.19430378564,13495.75048866398,13952.245801389161,17454.914615562913,23476.969840010424,30582.246059009303,39856.54626314325
ASU,oxygen,14150.665332020835,13904.398152634625,13658.130973248406,13411.863793862187,13165.596614475966,12919.329435089749,12673.06225570353,12426.79507631731,13466.05983758892,13921.550860626106,17416.513803408678,23425.320506362405,30514.965095779484,39768.861861364334
BF_BOF,steel,120425.98517493148,114100.36074819809,107762.30947921354,101424.25821022899,95086.20694124443,88748.15567225988,82410.10440327533,76072.05313429076,69737.73991949372,63405.90207163474,57072.24949167509,50738.59691171544,44404.94433175579,59.88476632881527
BF_BOF_CCS,carbon,287.3781465521608,295.85563953885253,36597.837143212135,46789.08411105229,57763.06436218907,60588.80158529237,62410.650281341295,62822.30781223286,63088.35137059978,60380.408750593786,54503.99826454971,48455.36005068824,42406.72183682678,57.18995184401858
BF_BOF_CCS,coal,51.64185293542329,53.165258425131796,6576.63133463522,8407.998414756095,10380.022665885375,10887.807644877039,11215.19385555703,11289.168713858246,11336.976741296781,10850.359452481704,9794.368488139582,8707.428201108678,7620.487914077772,10.277034346370138
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10077109948767418,868.7038219162006,17432.46145636658,18044.13005368508,22669.164074108652,23939.142357590878,55553.929723926194
DRI,direct_reduced_iron,36001.74559422439,33968.76366494514,30733.643315902744,27498.523043449186,24263.402617817956,33689.225241510496,63550.93392578841,74907.36047589824,74209.09902084844,73477.75316500616,72746.50966005438,72015.26615510258,71284.02265015077,72696.62249917905
EAF,steel,56134.0144610685,62801.17737734036,69480.76713586344,76160.35689438647,82839.94665290946,89519.53641143253,96199.12616995556,102878.7159284786,109554.56763281414,116227.94397021158,122903.13503970973,129578.32610920785,136253.51717870598,180940.11523367115
SMR,carbon_methanol,78708.58085285468,79469.42342393365,80426.6963848819,79922.97900735955,75687.44151669237,72354.56071058495,71882.76403448239,71201.31766241767,69913.80468486193,56738.51664682012,34383.60588778387,13126.193611154536,0.0,0.0
SMR,electricity,14860.180065018963,15003.827142438677,15184.560277465705,15089.458436589484,14289.78895835152,13660.54106215844,13571.465849710277,13442.808774664458,13199.726324501935,10712.23194291964,6491.624791613596,2478.225353785977,0.0,0.0
SMR,hydrogen,359810.65532733564,363288.7927951253,367664.89775946015,365362.18974792934,345999.73264773656,330763.7061055312,328606.92130049097,325491.73788533796,319605.96427365456,259376.0760997491,157182.19834415487,60005.45650813502,0.0,0.0
SMR_CCS,carbon,387.61952764873683,486.42557745875393,864.2810670960281,2536.0357882455814,4724.2315571003855,6140.346806621613,6151.799751791838,6235.002894772667,6040.842417155367,6070.381806273795,6051.775680663851,5933.24355808294,5245.858886032564,0.0
SMR_CCS,carbon_methanol,471.0653981842288,591.1421948283469,1050.3415745958675,3081.987937104005,5741.253628420607,7462.227021935989,7476.145531691471,7577.260462397339,7341.301548626315,7377.200111791071,7354.588500806764,7210.539046281352,6375.175729553464,0.0
SMR_CCS,electricity,34.45506912433217,43.237829107444796,76.82498374186918,225.42540339960726,419.93169396447877,545.8086050330323,546.826644603719,554.2224795353483,536.9637704138104,539.5894938910039,537.935616059009,527.3994273851503,466.2985676473391,0.0
SMR_CCS,hydrogen,2153.4418202707607,2702.3643192153,4801.561483866823,14089.087712475453,26245.73087277992,34113.03781456452,34176.66528773244,34638.904970959265,33560.23565086315,33724.34336818775,33620.97600368806,32962.46421157189,29143.660477958692,0.0
