carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,65471.57471713303,64179.64497431971,51908.83724739768,48548.77564380571,47689.494355288574,45725.559324279886,41461.57164822262,16225.004951274388,1233.5245814866134,516.4536795103569,188.5120270717122,132.9816251999733,116.36008574706176,45.917369650245874
coal_for_cement,34050.76943658303,35853.57630219054,35153.72080566974,33642.57590587845,32294.90795798435,30619.36546213342,24314.126403646835,15850.180208942553,8446.292390873108,7202.485037541949,6896.85279068698,6649.4401141394355,6418.316469142297,6187.192824145158
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,616.1858736014682,1806.2372825119292,4641.033385705769,18096.54442372383,28957.16648347258,36650.47530783073,37514.43779866191,39962.64596183693,47705.61347915176,52925.308880315046,63621.7358003034,85487.10359228669,226542.10254708366,262192.2695489431
electricity,4131.204159485109,3430.2364274587617,1039.2327960676917,1374.5088239806007,1881.928852502753,3023.67923055508,3363.2948750149426,4188.538458523937,4714.118189556068,5070.421524518974,5528.632722226805,5974.633713304922,6513.000165201869,9164.776476491237
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,143181.17126118374,139731.4598556644,136888.1446210544,133372.6514685175,130736.49653885387,128187.62013123442,125842.17694202776,125310.93862203654,123961.0331799632,121474.30990618086,118987.58663239854,116501.36607930655,114014.6428055242,108621.55547011978
limestone,27901.30963512403,26782.21150822706,24450.321039511564,23462.786406649837,22672.975328041295,21708.607205344717,20337.37264582244,15337.728347869259,11975.418294080328,10886.743903709388,9798.069513338449,8710.004879827895,7621.330489456956,3007.4870353034735
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,530328.9350452835,530224.7000367054,559600.1697136199,546428.4638775465,488454.005129687,416514.71628047357,377637.56545114366,423383.08397630876,414274.6160142926,362542.01183034456,330812.93745348265,272263.0448376844,130024.78338646577,83.78043940739448
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999996,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999996,105439.99999999996,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,1015.1677464259316,1389.594056681244,1980.91773037626,4648.457275858034,18284.411456385853,41193.62330743494,58654.683502941036,76116.6646484922,98872.24696350445,121954.6552718226,133964.31701257077,151867.54386791316,160915.41841538312,161683.74833472804
