carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185196,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,55019.90917365696,54383.38564155019,48112.855312749525,46534.423980038046,45311.13547631812,36182.98844491204,12112.684496984411,1989.7006807199425,813.8481113161298,197.23130087164898,149.67197429192152,133.06197040097587,116.45196651003214,0.15704779969732197
coal_for_cement,33108.99637946092,34859.685679180795,34608.97269239007,33601.063447792854,31953.96089715588,30592.36840284943,24583.74283187251,18704.282436604964,7604.976706737984,7169.796332048655,6893.101501228293,6649.4401141394355,6418.316469142297,6187.192824145158
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,3885.612789238955,3378.3128181963825,2205.730120309342,1517.2430518668757,2556.815852725995,2758.406274765213,3458.8291726355606,4412.421619992633,4785.685159611412,5149.486768131854,5596.368318336841,6041.4710762042205,7001.57810045777,679302.7405803823
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,144025.87207641857,140524.83150413932,136949.86073454795,133374.88996495653,130737.91919536502,128860.60500413775,128209.44397654553,126447.96602090323,123963.74880280855,121477.90544887232,118991.80509983495,116505.70475079755,114019.60440176017,106150.48064106841
limestone,26213.27803887677,25202.492458723886,24333.913059971146,23465.3336612184,22677.15426246565,20369.661706984716,15609.86282423353,13070.697797582518,11978.712110491599,10891.104987040557,9803.186150686048,8715.267314331539,7627.34847797703,10.286286542767943
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,572908.2959943815,572276.5681834895,571523.522924148,571432.1862084108,552911.4755104217,568870.1829763928,647674.5909665317,675047.5313113001,663791.2825110817,583481.6754092323,419982.5416547362,257617.34942664116,102263.116387935,39837.749129550124
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999996,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999996,105439.99999999996,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
