technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4068.777193582659,4068.777193582659,3997.967358178867,3962.562440476969,3927.1575227750727,3891.752605073175,3856.347687371278,3820.9427696693806,3785.537851967483,3814.1188144590706,3934.195265544738,3909.995371672166,3945.304951241828,3909.900033539931,3874.4951158380336,3839.002773412397,3803.5104309867606,3767.9496842052313,3732.3889374237024,3697.466627985667,3664.173778991797,3630.8421639362437,3639.2787060129317,3613.3875907760275,3586.290400582716,3555.9283102656655,3520.46991570163
BF_BOF,coal,96401.75980125507,93932.26843644655,91462.92627992507,88993.50951926007,86524.09275859507,84054.18326017213,81582.34326526815,79110.50327036418,76638.6632754602,74166.82328055623,71790.90043118475,69974.72156481555,68476.42163739886,67096.02907164083,65742.19387966552,64418.94215926579,63665.655704681616,63183.49824406617,62591.255192220444,62343.12882827013,62052.84186777363,61630.075353728564,61326.56279610085,60963.97449927948,60435.7558885185,59372.55006537478,57941.245054397266
BF_BOF,iron_ore,169321.03965092238,164983.59968965614,160646.4217993556,156309.1128735722,151971.80394778878,147633.62957235362,143292.06445309918,138950.49933384478,134608.93421459035,130267.36909533593,126094.2738342604,122904.31864589397,120272.68928620058,117848.15362583069,115470.26360915611,113146.0907156335,111823.01066078694,110976.14435175725,109935.9225812077,109500.11089067959,108990.24789596138,108247.69645462582,107714.60388545919,107077.75008206781,106149.98149650045,104282.5558840557,101768.59708272341
BF_BOF,limestone,33369.839931203685,32515.0159972315,31660.243712281757,30805.445602820797,29950.647493359837,29095.678820828813,28240.0418995159,27384.404978202983,26528.768056890072,25673.131135577154,24850.696303102417,24222.019003205383,23703.37672063807,23225.54852479875,22756.913266038064,22298.864593592003,22038.1115900821,21871.210930638288,21666.203720384,21580.31382517043,21479.82987730626,21333.487622444503,21228.425583265678,21102.91424975059,20920.069346025633,20552.03656109127,20056.584826522132
BF_BOF,scrap,15448.999968149852,15053.248146866435,14657.52023716748,14261.780371676294,13866.040506185107,13470.221676309635,13074.093471998101,12677.965267686566,12281.837063375031,11885.708859063498,11504.951992177042,11213.897686669157,10973.78551881392,10752.568761480901,10535.607993536141,10323.54842295926,10202.829439852823,10125.560616036244,10030.649870548148,9990.886030171496,9944.365683938082,9876.614640020603,9827.974807067443,9769.867708217866,9685.217289826682,9514.831741245958,9285.45593820469
BF_BOF_CCS,electricity,0.0,0.0,0.0,13255.785496420005,15272.986638353725,15871.058143330796,17364.04182266858,19143.27508989685,19333.982986498628,19316.751406944673,19233.048740338578,19227.036112406506,19225.678420414966,19220.895389060428,19213.653449644175,19194.135616263888,19220.0357996089,19206.783353310435,19203.194718999708,19274.911029763276,19335.08791145594,19389.10294370244,19561.281928183547,19766.140851860706,20079.0092875297,22056.5656514376,22962.32837826969
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.887850860858585,41.887850860858585,41.887850860858585,4540.397751463516,4540.399991931214,23254.77548413638,23254.768762733285,23255.036363766725,23255.036363766725,23255.03636376672,23253.89648881169,23252.12242529872,23270.34417383831,23302.233825133706,23334.26530175133,23707.43831573795,23819.151224025445
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1317.436540019658,3531.293278564798,5232.410293287318,6712.13800113042,8126.3865067798915,9434.61484738291,9822.141968552998,9815.429990951705,9989.01845283329,9599.005544475933,9278.044125974691,9175.88289217441,8878.405082318788,8677.68272992458,8748.23310324554,9702.858242685204,11244.64031154806
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2472.449397023194,6627.221632375034,9819.72890658031,12596.752139107775,15250.88974560062,17706.05800125286,18433.334927284395,18420.73847616964,18746.514082714533,18014.57204922196,17412.219798062095,17220.492551067044,16662.212277776358,16285.514164379005,16417.91691978958,18209.47368832703,21102.955105234032
EAF,direct_reduced_iron,52967.99989080116,56134.0144610685,59641.37622819861,62978.06439689739,66314.7525655961,69652.0724493691,72991.86732863064,76331.66220789216,79671.45708715364,83011.25196641519,86228.07614627607,88727.27983510835,90818.94642271953,92759.44972615293,94665.90511448025,96533.15092386452,97669.67203348527,98458.59186878715,99388.64707746114,99877.52704524361,100420.45905988016,101133.23665598923,101693.12456438375,102328.75059994962,103176.72319184832,104710.57682526334,106716.35249436244
EAF,electricity,44493.11990827297,47152.57214729754,50098.75603168683,52901.5740933938,55704.39215510073,58507.74085747004,61313.16855604974,64118.59625462941,66924.02395320905,69729.45165178875,72431.5839628719,74530.91506149102,76287.9149950844,77917.93776996846,79519.3602961634,81087.8467760462,82042.52450812762,82705.2171697812,83486.46354506735,83897.12271800463,84353.18561029933,84951.91879103094,85422.22463408235,85956.15050395767,86668.44748115259,87956.88453322121,89641.73609526445
SMR,natural_gas,483947.6053967527,480713.2046527692,487591.90389145364,482385.045433307,479223.0603206235,469619.6946647941,462350.4782787918,449896.04642454133,437964.8261011343,424676.31945969036,407881.97547714075,407546.4834375616,406466.2984649138,404683.5113537014,401222.69092203456,396057.3212824549,391622.9369122025,393951.4737076242,392058.1223963213,391306.1916949445,387249.6201679264,381453.50751544465,374594.02983409015,351231.1447348401,340114.3402997702,241606.33194715704,219628.79765844074
SMR_CCS,natural_gas,4135.533829890038,4650.499091939141,5432.374235264779,11558.379243343024,21528.302739899675,35864.98223945624,49913.59186419659,58584.542758491094,63038.31374009757,66899.6473429073,70852.68088754783,71169.46874013753,71428.4238229869,71607.07578638628,71741.5226209898,71812.6785842341,70971.20275839957,71509.20137570033,71751.83044063691,71974.75367455801,72228.87815019234,72302.89795887694,72314.40748992536,72102.68659502236,71602.85663724746,75632.03928652726,74701.57429240391
anaerobic_digestion,wet_biomass,390.05814514719503,432.60655124353093,475.166189759639,538.9932544731591,788.975530315331,902.4984729148622,1241.3562303216604,1241.3562303216604,1346.8972555620091,2725.3319027143807,4899.217151208741,15597.24568402494,28152.769883958743,39437.9973378776,48916.701842926916,56837.0098054388,66415.82229785307,77056.41550889086,89709.54054580392,98868.71572494038,108655.9676799521,118390.61531253559,120004.25173703884,133231.52527527002,135640.35782740184,135943.1989424024,136784.21395588253
biomass_to_coal_conversion,biomass_cement,76804.00599905284,77619.23668508866,78391.01827520735,79151.58392510298,79912.14957499862,80672.71522489427,81433.28087478991,82106.7645363581,82780.24819792628,83453.73185949447,84127.21552106267,84800.69918263085,85474.18284419904,86084.695019322,86675.59604016533,87266.49706100865,87857.39808185198,88548.54348335142,89239.68888485085,89930.83428635029,90621.97968784973,91313.12508934917,92004.2704908486,92695.41589234806,93386.5612938475,93884.0792907116,94376.0187738618
