technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4068.777193582659,4068.777193582659,4078.166679414006,4082.861422329678,4087.5561652453507,4092.250908161023,4096.945651076696,4101.6403939923675,4171.77420388468,4299.256131556261,4314.718110670036,4319.654443290524,4324.3491862061965,4329.043929121868,4333.40995257256,4337.766758550276,4342.123564527992,4346.4803705057075,4350.837176483423,4356.750102849469,4361.109754507931,4405.718537236118,4420.356688127455,4435.279214237891,4449.664155150015,4499.692434264306,5609.115716444357
BF_BOF,coal,96401.75980125507,93932.26843644655,91463.51101506369,88994.386621968,86525.26222887232,84053.63161847,81581.79162356601,79109.95162866205,76845.1985347356,75198.3229738151,73715.52467441135,72398.00088270115,71171.76855860667,70032.60843854281,69607.12197692545,69080.42804602352,68682.09072152559,68180.61156556722,67725.94600430896,67329.0758611224,66902.6755034382,66269.30059311946,65642.22287596574,64936.87153964948,64066.96128337059,62678.69425836954,60534.45262039365
BF_BOF,iron_ore,169321.03965092238,164983.59968965614,160647.44883415033,156310.65342576432,151973.8580173783,147632.66066321012,143291.09554395571,138949.53042470128,134971.694862292,132079.10573605986,129474.70359479943,127160.59129397509,125006.82426319378,123005.99174462007,122258.66295947165,121333.57233724646,120633.92857498727,119753.12544208602,118954.5461870555,118257.4793970996,117508.54543552606,116396.07924688932,115294.6735129142,114055.78719143564,112527.86789515092,110089.5014538029,106323.33344864013
BF_BOF,limestone,33369.839931203685,32515.0159972315,31660.446120598972,30805.74921529662,29951.052309994262,29095.487867931923,28239.850946619008,27384.21402530609,26600.261031254628,26030.188721705228,25516.912387296237,25060.84645939655,24636.381424133077,24242.056767187896,24094.77299201266,23912.455862085066,23774.569865143476,23600.9809265425,23443.596693799256,23306.2185673116,23158.61844349784,22939.37328223366,22722.30791860353,22478.147840647896,22177.025059628282,21696.47108943561,20954.23359936703
BF_BOF,scrap,15448.999968149852,15053.248146866435,14657.613944721745,14261.920933007692,13866.22792129364,13470.133272190704,13074.005067879169,12677.876863567635,12314.935662617883,12051.013297085752,11813.385364488999,11602.243731202107,11405.73214080235,11223.174429253655,11154.987496302158,11070.581462057999,11006.745307936793,10926.38005858449,10853.516987870025,10789.916003384998,10721.582612730479,10620.080223256324,10519.586999353485,10406.549926225878,10267.14123130939,10044.662541405374,9701.034073781033
BF_BOF_CCS,electricity,0.0,0.0,0.0,15844.08080922873,16598.8472240482,17316.751851023095,18558.309529414284,19089.72617803541,19072.2187648092,19073.864456420553,19082.21162355374,19087.388868322705,19090.318601365,19093.248334407308,19093.17581722787,19071.608306435755,19084.43027286574,19131.890598664406,19237.59324847238,19352.141403690253,19809.07817467066,20123.592079868107,21076.84650429478,21732.58596156026,22343.588641172864,25257.360548528162,24799.1802483057
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.53051502065058,45.56724608641384,4551.5516854233965,4551.5516854233965,23207.527326167965,23207.527326167965,23207.55098123275,23207.55098123275,23207.55098123275,23207.55098123276,23204.00285420681,23215.71192544285,23276.137900805566,23291.535841744237,23564.674886333127,24216.151207232208,24907.896031831962
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2418.9452077324413,5296.36211019906,7933.850516521201,10288.741063947384,12473.707591821247,14516.065477837272,15389.55400658994,16428.802204587555,17261.41414517647,17483.01253835885,17590.058173123693,17630.358445405313,17722.8256978945,18154.280118320356,18575.420866607354,19124.759753971477,19943.616616017913,21611.448826837015,73539.54545263413
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4539.664293963624,9939.748069825635,14889.555078950749,19309.007202202625,23409.560823007,27242.479047448032,28881.765738394824,30832.135644225964,32394.7087382079,32810.58517472826,33011.479037232144,33087.11105507573,33260.6454878294,34070.36131794369,34860.721352400105,35891.67241498757,37428.43118348567,40558.472455844814,138012.57160288873
EAF,direct_reduced_iron,52967.99989080116,56134.0144610685,60979.088123726026,64984.63224018843,68990.17635665086,72998.93357222434,77007.9592294666,81016.98488670887,84760.51451705687,87711.89346406392,90452.91694758793,92982.05003663307,95394.1427825811,97694.60449772066,99080.09998408264,100595.34863619407,101946.03753650565,102888.95953132407,103771.86409703978,104580.67197291998,105427.33909815612,106539.35821394937,107643.30400517206,108847.60059019292,110262.87014952477,112342.69966875692,115391.72740975174
