technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,14181.865435979991,14181.865435979991,13935.052528432421,13811.65019336692,13688.245112495897,13564.84003162487,13441.434950753845,13318.02986988282,13194.624789011792,13071.219708140768,12947.814627269741,12824.407603824942,12701.00446552769,12801.98040772666,12678.575326855635,12885.894808049205,12762.489719797702,12639.084638926677,12515.679558055652,12391.731329468934,12267.783100882216,12143.8348722955,12019.886643708784,11895.938415122066,11794.67807658433,11859.727974912836,11767.939157548377
ASU,oxygen,14150.665332020835,14150.665332020835,13904.39539096987,13781.264562941513,13658.130973248406,13534.997383555296,13411.863793862187,13288.730204169078,13165.596614475966,13042.463024782859,12919.329435089749,12796.193877960768,12673.06225570353,12773.816028929661,12650.682439236552,12857.545817571498,12734.412227878389,12611.278638185278,12488.14504849217,12364.469506008343,12240.793963524517,12117.11842104069,11993.442878556863,11869.767336073037,11768.729770280084,11833.636558832268,11742.049691401771
BF_BOF,steel,123591.99974519882,120425.98517493148,117260.16189733984,114094.24297341035,110928.32404948086,107762.40512555138,104596.48620162188,101430.5672776924,98264.64835376291,95095.62271927064,92012.51781879905,89094.26996608515,86644.19318987094,84603.20732525918,82835.0389715541,81227.30091405817,80274.45589823752,79668.96102840538,79016.39193454367,78425.36152578502,77867.5057522004,76978.95407130958,75908.51702075388,75127.44454843747,74501.81701241471,73276.1726436702,72188.19369923095
BF_BOF_CCS,carbon,0.0,0.0,0.0,17349.355645524058,24018.926506473024,34324.766838915944,46377.7592382068,46377.76004337545,47378.42679149155,49086.95468036143,50114.951167675914,56456.551150945204,56566.522341220174,56555.39057994485,56557.5807141556,56570.244190087535,56635.65702081495,56646.70284462253,56604.84256052896,56581.75061915403,56533.23694941616,56572.239827019985,56654.230401457586,56726.721242993146,56686.50015839936,57427.45637813057,57647.47881522144
BF_BOF_CCS,coal,0.0,0.0,0.0,3117.6792095006736,4316.2010932132025,6168.160600953195,8334.083544782645,8334.083479794568,8513.90329443103,8820.925756060948,9005.656720108846,10145.241894508807,10165.003717401218,10163.003682493572,10163.397249611246,10165.6725383652,10177.427546642382,10179.412158585137,10171.890203404539,10167.740927281338,10159.022679810085,10166.031496915492,10180.765203141927,10193.79180736587,10186.563392609045,10319.713225294743,10359.251943095293
DAC,carbon_liquid,0.0,0.0,0.0,0.0010301069132285184,0.0,0.0,0.0017007509705599937,-0.0013532039141595192,0.0017007509705599937,0.0,23.7450851095182,23.7440211465572,23.740051157493355,23.740051157493355,23.74158782943933,1471.3302768671826,4556.87514353761,17396.46004978483,17396.46004978483,17396.46004978483,17396.46004978483,17396.46004978483,17396.39515081511,17395.37688648173,17394.380964204,17393.00430358494,17414.744640937566
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.929422337567,2925.9172818137276,4524.255449352743,5764.639069239592,6778.78953474173,7661.221225108959,7941.208315761091,7923.719481060124,7956.084417214723,7938.23085220706,7869.823816045732,8072.02857325785,8463.181980845628,8601.141382474021,8603.086464845479,9130.046275848472,9536.548840584068
EAF,steel,52967.99989080116,56134.0144610685,59641.37622819861,62978.06439689739,66314.7525655961,69651.4407342948,72988.12890299356,76324.81707169229,79661.50524039098,83001.30011965253,86255.17426489337,89344.19136237647,91965.03738335994,94176.79249274096,96115.73009121529,97894.23739348043,99017.85165407034,99794.11576867172,100617.45410730265,101379.25376083054,102107.87877918442,103167.19970484448,104408.40600016942,105360.24771725507,106156.64449804707,107553.05811156081,108811.806300769
SMR,carbon_methanol,79596.50494067206,78957.60234844609,79712.93430784976,79444.07336577078,78849.7387914237,77526.30585528775,76884.17998741166,73740.73610661781,71104.7368560034,68005.1818295978,64468.64943255414,64336.063261127936,64111.49887350551,63829.126326084785,63443.67976755276,62761.603322159484,61966.40281927775,61899.07147851166,61781.167988249734,61641.85566298748,61511.80933408503,60429.79895112004,59880.88078234118,59378.412660945614,58666.716905336805,45626.5779064484,42787.94059492476
SMR,electricity,15027.820132798888,14907.195323386624,15049.801997322036,14999.041051457523,14886.830683820797,14636.966545478328,14515.733181623324,13922.250976929445,13424.574318413443,12839.378329428066,12171.681012866224,12146.648743700956,12104.25098731784,12050.939050364808,11978.166740113964,11849.39070722371,11699.25685227964,11686.544695143002,11664.284516181551,11637.982349172036,11613.429602275255,11409.146041971464,11305.510291706016,11210.644310386531,11076.27615172759,8614.297908737459,8078.363184321795
