technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,14181.865435979991,14181.865435979991,13935.055274237948,13811.65019336692,13688.245112495897,13807.161742576673,14309.356693259802,14440.74010904073,14317.414043576464,14193.560483084024,14069.608941658658,13952.702178199732,13828.992375391656,13705.282572583583,13593.9047437738,13477.283251284103,13346.953005502937,13223.540633619266,13178.77924245025,13283.57069777248,13240.606589364434,13181.952780112335,13094.258914974816,13121.695431619935,13823.059446245252,18041.579269694186,19909.516507885244
ASU,oxygen,14150.665332020835,14150.665332020835,13904.398152634625,13781.264562941513,13658.130973248406,13776.785986743003,14277.876086634631,14408.970480800841,14285.915732680596,14162.33465002124,14038.65580198701,13922.006233407692,13798.568592165795,13675.130950923898,13563.998153337498,13447.633228131279,13317.589708890831,13194.448844225304,13149.785928116858,13254.34684223738,13211.477254867834,13152.952483996087,13065.451545361873,13092.82770167037,13792.648693563513,18001.887766229338,19865.715571567896
BF_BOF,steel,123591.99974519882,120425.98517493148,117263.26860790263,114094.24297341035,110928.32404948086,107761.51653379202,104594.26584242182,101449.66954158687,98340.25806532199,95193.43949713983,92157.27071156485,90344.39408713806,88654.50301613167,86915.14964069921,85223.50527605884,83702.55018276433,82844.69006341888,82726.88879264408,82620.87582453333,82735.55464857107,82880.54733752072,83024.41337314495,83237.05672030084,83231.37780038195,82837.61964607147,81984.20356138708,80415.3109307464
BF_BOF_CCS,carbon,66.10775658165142,66.10775658165142,71.61834098091167,56568.37815566332,59202.36250262349,60624.2505553399,60636.5725176787,60637.6020812533,60469.730914298845,60119.046944600865,59370.49701290428,59340.770506622765,59380.87271575643,59449.95094832248,59491.50399187253,59652.844734609134,61623.3804407953,62117.765716021786,65555.03800842419,67140.6906222592,69057.45176705303,71261.3315914614,75681.64227292483,78331.21176430678,78817.99593152005,78208.80053721597,76796.62193886282
BF_BOF_CCS,coal,11.87956385772276,11.87956385772276,12.869815874269827,10165.337554572698,10638.66454172144,10894.17782479458,10896.392081426862,10896.577094001219,10866.410645299502,10803.392735944775,10668.878313218898,10663.536460040112,10670.74282702143,10683.15618541355,10690.623267339493,10719.61619880926,11073.721465210916,11162.562499169115,11780.240330113826,12065.182104819976,12409.62408253943,12805.661286985616,13599.991116444593,14076.118754045927,14163.593868894151,14054.12145653771,13800.352962413648
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.37647537486383,41.21566285114015,3107.9748194832573,3124.867753004282,15960.850895348432,15960.850895348432,15960.850895348432,15960.886451382277,15960.886451382277,15960.886451382275,15960.886451382274,15959.819738191192,15977.19436918686,15999.341407180316,16162.338136895738,16215.77770338307,16451.07578423193,17601.510614661947,17776.254782241216,22579.87357536181
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.2746589053909,1915.2879744976458,2858.9374889568066,3845.866519788741,4761.3815571983405,5540.158835355706,5705.134626119475,5222.558924383912,4772.559631574802,4129.455020635768,3459.8257778988072,2791.1823568215827,2062.358788154166,1530.3673264807476,1375.2013793168182,1630.0275953459354,7198.252102727685
EAF,steel,52967.99989080116,56134.0144610685,59638.269517635825,62978.06439689739,66314.7525655961,69652.32932605415,72990.34926219363,76305.7148077978,79585.8955288319,82903.48334178333,86110.42137212757,88094.06724132354,89954.72755709922,91864.85017730093,93727.26378671052,95418.98812477427,96447.61748888898,96736.18800443302,97012.97021731299,97069.06063804451,97094.83719386409,97121.74040300908,97079.86630062245,97256.3144653106,97820.8418643903,98845.02719384393,100584.68906925355
SMR,carbon_methanol,82898.75156924438,82729.35811533786,84071.45981662498,82760.30774434067,81292.2758569872,79239.19533314228,77463.56414937552,75456.85412453307,73498.04087388204,71250.99263954724,67731.78354273684,67507.59422509187,66874.77967152842,66100.99316068308,65126.448960857015,62795.22643933893,58507.92531835708,57837.996218237255,53497.08718970753,47764.00924866476,41230.14630807211,36051.795713302316,27418.811645306523,23491.663040602532,17541.44222773045,7206.610764538198,137.67907368770224
SMR,electricity,15651.284296273341,15619.302812175789,15872.691613378796,15625.146102131519,15347.981681799183,14960.360078897264,14625.1209114021,14246.254058711846,13876.430116988931,13452.187410346522,12787.760732868717,12745.433789697347,12625.958401984568,12479.867508736967,12295.873563809806,11855.73875174719,11046.296300105818,10919.813686003194,10100.250061416782,9017.844946147907,7784.251622964015,6806.579030671478,5176.671638633872,4435.225982065758,3311.8242925955096,1360.6081123448118,25.99380911223819
