technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,14181.865435979991,14181.865435979991,14214.592817755336,14230.956508643007,14247.320199530675,14263.683890418344,14280.047581306017,14296.411272193682,14540.865123334543,14985.207847878219,15039.101117706647,15056.306877973246,15072.670568860916,15089.034259748583,15104.252187426142,15119.437987278761,15134.623787131377,15149.809586983994,15164.99538683661,15185.605098813066,15200.800817385607,15356.286292213728,15407.308079914446,15459.321067402898,15509.46028285122,15683.835602176041,19550.76935464964
ASU,oxygen,14150.665332020835,14150.665332020835,14183.320713556275,14199.648404323993,14215.976095091708,14232.303785859423,14248.631476627143,14264.959167394856,14508.875220063208,14952.240390612886,15006.015095247692,15023.183002841704,15039.510693609422,15055.838384377137,15071.022832613806,15086.175223706749,15101.32761479969,15116.48000589263,15131.63239698557,15152.196767595678,15167.35905558736,15322.502462370858,15373.412002138635,15425.310561054612,15475.339470228948,15649.331163851255,19507.757625113372
BF_BOF,steel,123591.99974519882,120425.98517493148,117260.91155777396,114095.36746406154,110929.82337034911,107761.06617752563,104592.04054303335,101423.01490854108,98519.48530094307,96408.10637668602,94507.08291591199,92817.94984961685,91245.8571264188,89785.39543402924,89239.89997041726,88564.6513410558,88053.96246349435,87411.04046867591,86828.1359029602,86319.32802707999,85772.66090184383,84960.64178605059,84156.69599482788,83252.39940980703,82137.12985047512,80357.300331243,77608.27259024826
BF_BOF_CCS,carbon,0.0,0.0,0.0,47352.30367372603,49608.03115376032,51753.591903834706,55464.1647621467,57052.37949203649,57000.056081318595,57004.97446628976,57029.921170214395,57045.394107360145,57054.15003396593,57062.905960571756,57062.68923259974,56998.23163907877,57036.55192129629,57178.39389917635,57494.30140009678,57836.644960221915,59202.26591354053,60142.23574377796,62991.173055274296,64950.94429635463,66777.01327308088,75485.23774216426,74115.90032368709
BF_BOF_CCS,coal,0.0,0.0,0.0,8509.208970168567,8914.563198330728,9300.120465119096,9966.910407757761,10252.312594718956,10242.91007781295,10243.793911592269,10248.276834287528,10251.057321092618,10252.63076110368,10254.204201114744,10254.165255098173,10242.582225542454,10249.468380256943,10274.95738368199,10331.72596159739,10393.245099351878,10638.647184663232,10807.5597631569,11319.51379803279,11671.684690054928,11999.829285172635,13564.697222266917,13318.62728816657
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.228062428429755,31.253255203301674,3121.7775620187904,3121.7775620187904,15917.371279950596,15917.371279950596,15917.387504274866,15917.387504274866,15917.387504274866,15917.387504274868,15914.953946643904,15922.984859700173,15964.429287246614,15974.990289262165,16162.328454275124,16609.15720660645,17083.604960104225
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656.8117861181106,3627.6452809582606,5434.144189398083,7047.082920511906,8543.635336863868,9942.510601258406,10540.790415472562,11252.604249717504,11822.8864008058,11974.666122163597,12047.985050084722,12075.587976305009,12138.921710886643,12434.438437205723,12722.891004525585,13099.15051641882,13660.011380834187,14802.362210162339,50369.55167988639
EAF,steel,52967.99989080116,56134.0144610685,60979.088123726026,64984.63224018843,68990.17635665086,72998.93357222434,77007.9592294666,81016.98488670887,84760.51451705687,87711.89346406392,90452.91694758793,92982.05003663307,95394.1427825811,97694.60449772066,99080.09998408264,100595.34863619407,101946.03753650565,102888.95953132407,103771.86409703978,104580.67197291998,105427.33909815612,106539.35821394937,107643.30400517206,108847.60059019292,110262.87014952477,112342.69966875692,115391.72740975174
SMR,carbon_methanol,81646.82399622342,81338.0891402646,85805.2416696932,86748.72296178863,86767.83327364513,86578.35876252092,85466.75522171264,84815.55733754655,83971.69762404675,82552.6405260597,80345.9186448658,81990.90243030286,83199.89605658539,84193.39594081271,84977.36007147307,85975.54363200569,86427.49447175473,85560.47045488261,84986.24027075245,84654.26881434488,84258.3602564663,80433.62293408695,76450.72279799984,73603.61689611146,70009.07943935611,53021.67549682286,31936.10859736833
SMR,electricity,15414.920370486985,15356.631229681956,16200.02962723808,16378.158895185696,16381.766922064202,16345.994134363951,16136.123385859348,16013.177225328789,15853.856511420026,15585.938531320071,15169.309440150664,15479.882378841181,15708.140375483323,15895.713153625442,16043.725581494116,16232.182637722675,16317.510956267295,16153.816821881837,16045.402163118062,15982.725952148312,15907.97841642084,15185.868009955615,14433.89646426237,13896.362869985845,13217.714198150434,10010.492333800157,6029.537303183141
