carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,77619.23668508866,78646.08367715118,79534.18202801874,80422.28037888628,81310.37872975385,82198.47708062141,82999.49344316151,83800.50980570161,84601.52616824173,85402.54253078184,86203.55889332193,87004.57525586203,87805.59161840213,88606.60798094224,89360.26402320061,90090.74950819007,90921.47937383564,91752.20923948122,92582.93910512677,93413.66897077234,94244.39883641792,95075.12870206349,95905.85856770906,96736.58843335464,97567.31829900021,98396.6964137124
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,96401.75980125507,93932.26843644655,91463.51101506369,80485.17765179944,77610.69903054158,74753.51115335089,71614.88121580826,68857.63903394308,66602.28845692264,64954.52906222283,63446.644850906196,62118.979588627764,60894.15509152751,59756.402798457864,59333.93654986236,58821.806915521425,58417.745709559786,57887.65254801653,57392.29310848217,56935.83076177052,56264.02831877496,55461.74082996256,54322.70907793296,53265.18684959455,52067.13199819796,49113.99703610262,22369.00058692542
coal_for_cement,18076.639587172805,17841.634420773993,20148.548461603572,20904.4376069926,21605.20500809608,19062.23994676551,17208.489467285555,15225.440095291478,13714.968791483272,11170.66116770813,11581.591021641714,10005.268673181094,9183.297864911572,8604.98453208961,8392.103357986683,8310.223156151409,8228.342954316133,8124.534758620024,8020.726562923917,7916.918367227803,7813.110171531691,7709.301975835586,7605.493780139475,7506.113379843025,7420.810800624603,7335.508221406184,7250.205642187753
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
