technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4079.865649733925,4079.865649733925,4008.922757631191,4056.7117898118945,4024.4807845131363,3991.4661111170926,3959.7733007654138,3927.585021247429,3895.403698816317,3863.222376385206,3833.2774030059354,3807.431253796905,3780.5083464849017,3756.8856423537245,3733.444482671275,3722.9877357542264,3863.3732209938184,4208.296359203873,4393.162956823946,4516.956888678098,4635.09610292423,4702.249930907801,4770.97084872331,4870.380230971031,4981.904769344558,5029.277900889131,4503.649951207798
BF_BOF,coal,96401.75980125646,93932.26843644655,91467.77274840302,88995.93275349906,86524.09275859507,84052.2527636911,81588.37576974685,79161.68848725362,76734.94893807832,74310.63262314198,72367.74125121758,71340.88327067856,70620.9691611684,69952.00775628886,69424.1821981852,68863.35821919426,68364.84899867821,68039.14400014488,67246.47905578307,67056.18243944603,66819.94392657025,66327.45025955071,65711.16615596387,64560.71482235533,63095.97508348097,60785.319695312,9818.097747011254
BF_BOF,iron_ore,169321.03965092482,164983.59968965614,160654.93418629764,156313.3690670432,151971.80394778878,147630.23882853438,143302.66000583745,139040.40157376596,134778.05133995807,130519.95729962118,127107.44296688217,125303.85907798671,124039.39455230859,122864.42387963556,121937.34565578683,120952.30866704631,120076.72195921685,119504.65035922882,118112.40552105487,117778.16659236033,117363.23484538624,116498.21391741598,115415.76619701346,113395.10167516257,110822.41777483196,106763.95895202235,17244.607581288998
BF_BOF,limestone,33369.83993120416,32515.0159972315,31661.921335985662,30806.28441467275,29950.647493359837,29095.010572046922,28242.130074143144,27402.12293789548,26562.0977093348,25722.91129262607,25050.371971575318,24694.921132157964,24445.7200942506,24214.156531023065,24031.447683987186,23837.316306644163,23664.75542261938,23552.011384665533,23277.62736546337,23211.75545980824,23129.980589966628,22959.5020129214,22746.17290014134,22347.93974619992,21840.914451974182,21041.072202223382,3398.5722970423567
BF_BOF,scrap,15448.999968150074,15053.248146866435,14658.296914808177,14262.168710496642,13866.040506185107,13469.912301873574,13075.060219510713,12686.168026803463,12297.26745802537,11908.755228067626,11597.394431284869,11432.833857480538,11317.463006597498,11210.25765325142,11125.67022406814,11035.794586409334,10955.905288249713,10903.70897438219,10776.67933586267,10746.183083244554,10708.324347206772,10629.399080056202,10530.635601917287,10346.268401018482,10111.534468506565,9741.237130658974,1573.4131004825726
BF_BOF_CCS,electricity,47.09808592233497,43.52329930791217,42.432207523843026,21924.68737186193,21995.30323554972,22114.61929838634,22260.926623450945,22453.669198280997,22912.879465525737,23392.49497841865,24118.461338955545,24387.628317348262,24850.214215749736,25222.84606648297,25913.131978656373,26911.621694867303,27734.272015502287,27682.91289838623,27329.107980566685,27384.3707472651,27316.53329730825,27143.586863043343,26919.927137147646,26448.62114933319,25848.560469359945,24901.95309153728,4022.1851389400217
DAC,electricity,17324.44457955226,17324.44457955226,17324.44457955226,17324.44457955226,17324.44457955226,17324.44457955226,26914.230733019187,26914.230733019187,26914.230733019187,26914.230733019187,26914.230733019187,26914.230733019187,26914.23073301924,26914.230733019187,27101.169107052505,27329.649379055827,27572.94378797045,27993.588516291205,47050.50169323818,47278.86406441303,47658.353474940464,49952.44530661332,53209.72179635563,54921.734145596034,57815.69990779156,63095.76198997827,157602.97390504187
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.1519982038648,1432.9094145353267,1774.4733444304593,2019.4310733249833,2064.55671255951,2171.9585523564906,2272.2000420828194,2263.1736175641454,2927.2170918931893,2713.049234322847,2655.0249074651447,2952.639817686013,3522.0168596453354,4830.642623613277,6530.659306179135,9572.259687894635,105105.51097323089
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.5729281360202,2689.158764264929,3330.1760025612734,3789.891192404421,3874.5790358993545,4076.1413927786193,4264.265832402004,4247.3258302231225,5493.544405333794,5091.612946605892,4982.717977023628,5541.255548260052,6609.812462622069,9065.726567602998,12256.16883488413,17964.3777704324,197252.8082648306
EAF,direct_reduced_iron,52967.99989079939,56134.0144610685,59635.16280707304,62974.9576863346,66314.7525655961,69654.54744485758,72984.13334852975,76266.04013495699,79548.01392995093,82826.88101438216,85488.53663341347,86975.79046861731,88069.5265204509,89097.93859198879,89945.40727022424,90835.18161626393,91645.06524631016,92233.40500201957,93420.41135494497,93835.15062065913,94308.78975373064,95110.96113570443,96071.838205585,97717.54505754469,99766.18576240925,102899.33370995922,168412.69519613936
EAF,electricity,44493.11990827149,47152.57214729754,50093.53675794135,52898.96445652106,55704.39215510073,58509.81985368037,61306.67201276498,64063.47371336386,66820.33170115878,69574.58005208102,71810.37077206731,73059.66399363853,73978.40227717876,74842.26841727058,75554.14210698837,76301.5525576617,76981.85480690053,77476.06020169644,78473.14553815377,78821.52652135366,79219.38339313374,79893.20735399172,80700.34409269139,82082.73784833754,83803.59604042377,86435.44031636574,141466.66396475708
SMR,natural_gas,442576.070854086,443336.9924136158,450603.68921778176,442539.81017433875,432154.8134398699,415933.9043157194,387062.32614713727,352733.3478647094,314322.0020351996,280536.0778566529,248241.4063997538,242135.96822905328,222812.41799067604,196008.17581860747,175960.5606980065,144303.52842577882,92486.2170748264,80099.35986184956,3003.907701715762,840.8107209233859,623.8563488008642,481.9983720823238,438.61859865511923,392.3958673967911,36.80012727648077,0.0,0.0
SMR_CCS,natural_gas,2772.8848669729205,3402.6392353449855,4108.570909825465,11459.20687534207,12103.154084715785,12143.962116055953,12192.636607182889,12192.636607182889,12192.636607182889,12192.636607182889,12193.541932561588,12193.541932561588,12193.541932561588,12193.541932561588,12193.541932561588,12014.794414789943,9821.287605384377,9717.38560389289,9578.089269536562,9343.113638333047,8161.710744144998,4770.0619330125455,191.34539895247332,76.68017221386418,23.21779211138085,0.0,0.0
anaerobic_digestion,wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_to_coal_conversion,biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_DRI,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR_CCS,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
