technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,14220.51463831971,14220.51463831971,13973.24070279258,14139.811048490395,14027.46875048148,13912.394949867874,13801.928549199769,13689.735173396408,13577.566046763044,13465.396920129686,13361.022666454986,13270.935008005943,13177.094271470554,13094.75650872682,13013.051525518562,12976.604167843243,13465.922694297033,14668.16437505707,15312.5233768698,15744.01147872737,16155.78984835488,16389.856868165163,16629.386018554582,16975.880902652603,17364.603587816513,17529.724297278255,15697.629666112925
ASU,oxygen,14189.229506115407,14189.229506115407,13942.499573246438,14108.703464183718,13996.60831923042,13881.787680978165,13771.56430639153,13659.617756014935,13547.695401460165,13435.7730469054,13331.628416588786,13241.73895098833,13148.10466407332,13065.94804440762,12984.422812162422,12948.055638673988,13436.29766436958,14635.894413431944,15278.835825440688,15709.37463893841,16120.24709615274,16353.799168519441,16592.801369313762,16938.533964666767,17326.40145992332,17491.158903824245,15663.094880847477
BF_BOF,steel,123591.99974520059,120425.98517493148,117266.37531846542,114097.34968397314,110928.32404948086,107759.29841498859,104600.4817560857,101489.3442144277,98378.13966420296,95270.04182454101,92779.15545027895,91462.67085984431,90539.70405277998,89682.06122601136,89005.36179254513,88286.35669127468,87647.2423059977,87229.67179505753,86213.43468690135,85969.46466595643,85666.59477765417,85035.19264044962,84245.0848153383,82770.14720814786,80892.27574805252,77929.89704527179,12587.304803860581
BF_BOF_CCS,carbon,140.75937215282417,130.0756106034434,126.8147266104095,65525.066861512045,65736.1124792281,66092.70561382647,66529.96599955452,67106.00477669157,68478.42039906078,69911.82001918305,72081.47441409307,72885.91846188961,74268.4226412126,75382.08627161676,77445.10453872196,80429.23399541932,82887.84224597216,82734.34817210468,81676.95152590162,81842.11221537687,81639.37028484234,81122.4951077207,80454.05599864807,79045.4905837812,77252.12333939015,74423.05167823455,12020.876087686855
BF_BOF_CCS,coal,25.294459175862503,23.37458722543878,22.788606371890587,11774.854515013714,11812.77941251729,11876.859198804617,11955.434890119948,12058.949058371474,12305.572145711221,12563.154057447195,12953.040952212526,13097.599547601561,13346.035548625903,13546.160903009531,13916.885285608338,14453.13334897685,14894.945251601199,14867.362366527212,14677.34818920452,14707.027565103224,14670.59484018617,14577.712370857407,14457.59386295706,14204.47465790548,13882.20656408841,13373.82238657875,2160.151432957328
DAC,carbon_liquid,11882.335102573566,11882.335102573566,11882.335102573566,11882.335102573566,11882.335102573566,11882.335102573566,18459.69186078134,18459.69186078134,18459.69186078134,18459.69186078134,18459.69186078134,18459.69186078134,18459.691860781375,18459.69186078134,18587.90748083162,18744.61548632087,18911.484079540776,19199.992123656524,32270.577293030303,32427.20443375379,32687.48523658468,34260.93642428898,36495.008090778894,37669.22780905078,39654.11516309435,43275.55692042405,108095.31817904106
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.1726015094964,981.4448044762513,1215.3927016646983,1383.1719680308106,1414.0799401092534,1487.642844079788,1556.3013986868625,1550.1189161398256,2004.9432136254723,1858.2529002211281,1818.510210592565,2022.3560395109678,2412.3403148255725,3308.65933124197,4473.054319300777,6556.342251982627,71990.07600906226
EAF,steel,52967.99989079939,56134.0144610685,59635.16280707304,62974.9576863346,66314.7525655961,69654.54744485758,72984.13334852975,76266.04013495699,79548.01392995093,82826.88101438216,85488.53663341347,86975.79046861731,88069.5265204509,89097.93859198879,89945.40727022424,90835.18161626393,91645.06524631016,92233.40500201957,93420.41135494497,93835.15062065913,94308.78975373064,95110.96113570443,96071.838205585,97717.54505754469,99766.18576240925,102899.33370995922,168412.69519613936
SMR,carbon_methanol,74546.4814809666,74674.64933431774,75898.63480125493,74540.373816614,72791.14917992728,70058.93706711604,65195.87575628419,59413.58269454469,52943.66516146909,47252.842866822844,41813.203703662235,40784.81793339909,37530.00418530868,33015.160129606826,29638.386580957053,24306.149875366995,15578.16276670384,13491.749418479703,505.97120947895814,141.62419742973026,105.0809088320544,81.1866819842984,73.87989409086573,66.09424500889202,6.1985276366598665,0.0,0.0
SMR,electricity,14074.375703606494,14098.573794319193,14329.662250476931,14073.222576576725,13742.96896517027,13227.12731827151,12308.981342786456,11217.284412730038,9995.763982485365,8921.336733256154,7894.332859251431,7700.173625825751,7085.66479018628,6233.2622324697695,5595.727386484692,4589.001096469289,2941.1571303536853,2547.2422902089684,95.5273643496273,26.738648474733072,19.839275587491873,15.32804555863554,13.948524004355452,12.478593457678812,1.1702820178013829,0.0,0.0
SMR,hydrogen,340783.9153415616,341369.8255283097,346965.18766287965,340755.9945902354,332759.53910823894,320269.4265925305,298038.2891715849,271604.9494607757,242028.18359528726,216012.9959626187,191146.0740738845,186444.881981253,171565.73341855398,150926.44630677407,135489.76722723225,111113.8280016777,71214.4583620747,61676.56877019293,2313.0112433323798,647.4249025359097,480.36986894653444,371.139117642507,337.7366587011005,302.1451200406492,28.33612633901653,0.0,0.0
SMR_CCS,carbon,384.3222268846736,471.6062696250847,569.4484975503069,1588.247661170072,1677.4988336404415,1683.1548324401876,1689.901123656672,1689.901123656672,1689.901123656672,1689.901123656672,1690.0266018796378,1690.0266018796378,1690.0266018796378,1690.0266018796378,1690.0266018796378,1665.2521711420575,1361.2318233380981,1346.830991530546,1327.5245002822678,1294.9568452298054,1131.2142403527369,661.1312450467839,26.52049881531162,10.627882496724073,3.21798920462659,0.0,0.0
SMR_CCS,carbon_methanol,467.0582618390131,573.1326193360404,692.0381046618313,1930.1620882275183,2038.6270547713698,2045.5006644238392,2053.6992822216503,2053.6992822216503,2053.6992822216503,2053.6992822216503,2053.8517731176153,2053.8517731176153,2053.8517731176153,2053.8517731176153,2053.8517731176153,2023.7439579851393,1654.2747853067162,1636.773774429483,1613.3110246485894,1573.732277189,1374.7395282064513,803.4581102999109,32.22977286583009,12.915829423102172,3.910750769511481,0.0,0.0
SMR_CCS,electricity,34.1619757230821,41.92055730000752,50.617644226693955,141.1775698817842,149.11100743470593,149.61376288357224,150.2134332139264,150.2134332139264,150.2134332139264,150.2134332139264,150.2245868337456,150.2245868337456,150.2245868337456,150.2245868337456,150.2245868337456,148.02241521262732,120.99838429671983,119.71831035827076,118.00217780286826,115.10727513153827,100.55237692024329,58.76722178193635,2.3573776724721434,0.9447006663754731,0.2860434848556969,0.0,0.0
SMR_CCS,hydrogen,2135.1234826926316,2620.0348312504702,3163.602764168372,8823.598117611513,9319.43796466912,9350.860180223264,9388.339575870401,9388.339575870401,9388.339575870401,9388.339575870401,9389.0366771091,9389.0366771091,9389.0366771091,9389.0366771091,9389.0366771091,9251.400950789208,7562.399018544989,7482.394397391922,7375.136112679266,7194.204695721142,6284.5235575152055,3672.951361371022,147.336104529509,59.04379164846708,17.877717803481058,0.0,0.0
anaerobic_digestion,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_to_coal_conversion,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_haber_bosch,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_conversion,carbon_methanol,660.0567017348726,736.656982925903,831.2383268580912,376.93174348502566,617.0199747849806,1000.7011624255695,1473.5536938354162,2068.470772601583,3437.362980026456,4861.438757079752,7034.442285874526,7897.189483342999,9325.504455699622,10639.750586767059,13007.286408263408,17196.03881839621,24660.927201596198,28385.05601783349,43073.317436669335,45159.256036844556,47081.41522409655,49376.850484462266,51871.00787236029,53613.25086626696,55346.42118167307,57073.299463413554,58796.266994384525
carbon_evaporation,carbon,0.0,0.0,0.0,21.846364358232705,55.406417850493455,136.49295364957376,306.7508332179113,589.6912620209432,1299.4801761633425,2119.477224674155,3430.7133536945216,4104.586266779189,5032.520795074831,5883.103852924977,6907.8291265043945,9467.65035281429,13967.367222292305,15575.444536815075,28076.308143167655,29362.907110723798,30159.75722715475,31711.29307282216,33628.82382930494,33991.11839201602,34602.211458766054,35689.447153856054,39014.63061165936
carbon_liquefication,carbon_liquid,0.0,0.0,0.0,64284.69847521199,64403.047142551106,64488.98738560921,64664.09897243658,64947.03940123961,65656.82831538201,66476.82536389283,67788.0614929132,68461.93440599786,69389.8689342935,70240.45199214364,71136.96164567277,73540.07486649342,77872.92314275155,79192.49241315854,78622.77085013736,79752.74267697,80289.3119905701,80267.39664853319,79950.85573852605,79138.93058296524,77765.13629567172,75230.930233432,13736.352432618305
cement_plant,cement,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258
cement_plant_oxy_combustion,carbon,134.97510269737484,134.97510269737492,134.97510269737484,909.8745145625688,940.6834467513273,971.4923789400859,1014.4083399711271,1048.1782431162046,1082.0121394425228,1115.8460357688411,1188.0821192738106,1281.8522643712627,1376.501716788869,1621.851746812682,1845.3383997603325,3044.507421645209,8415.983954995256,12088.950647023768,14753.34468851502,16609.53531495619,18666.138724978402,20373.92753101284,21920.403059829918,23870.151463725913,25346.906600282462,26151.253508619793,22220.078645162837
e_haber_bosch,ammonia,0.0,594.2039400003193,888.5170394874972,1332.775559231074,1777.0340789746538,2221.2925987182307,2665.551118461809,3109.809638205388,3554.068157948965,3998.326677692545,4442.585197436121,4886.8437171797,5331.102236923278,5775.360756666856,6219.6192764104335,6663.877796154012,7108.136315897589,7552.394835641167,7996.653355384745,8440.911875128322,8885.1703948719,9329.428914615479,9773.687434359055,10217.945954102634,10662.204473846212,11106.46299358979,13333.333333333332
electrolysis,hydrogen,60432.95003625271,59369.83220280481,59771.48012539426,62398.049403749916,73879.6415063211,90488.77414513013,118210.8413903381,141341.1687234701,167614.58655120392,190191.8863236955,211260.83259805985,213410.22419437443,225126.92233253008,242906.76047530712,256069.82713957952,277991.2110104579,316942.2309123404,329756.6794986316,393509.7439050017,398125.3364684165,402207.9213994249,408483.41983476025,416011.3757554703,421200.2392421437,427175.9248220247,434900.89552660595,581854.0898201967
electrolysis,oxygen,377.0411752761807,370.40838311329924,372.91426450233473,389.30143022999573,460.93508335793734,564.5594618914669,737.5174394343194,881.8275516657299,1045.7474346588026,1186.6071736217164,1318.0563345792953,1331.466388748702,1404.5668684326552,1515.495278605441,1597.6196515238366,1734.3871654942466,1977.4025786620919,2057.3519233919624,2455.1072922233056,2483.9039742264504,2509.375221611012,2548.5280563490687,2595.494973338379,2627.868292631734,2665.150594964612,2713.3466871904943,3630.187666388207
gasification,carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.2038226227951,390.48355608177945,838.9254785048909,1864.5109260350087,2604.9272445933316,3283.733712420019,3397.8606641784972,4394.835524267034,4073.2903572847135,3986.174381618903,4433.004438608042,5287.8499700976545,7252.581254082398,9804.935067907305,14371.50221634592,157802.24661186448
haber_bosch,ammonia,17231.91425999999,16637.71031999967,16043.50637999968,15449.302439999694,14855.098499999705,14260.894559999717,13666.690619999728,13072.48667999974,12478.282739999751,11884.078799999763,11289.874859999774,10695.670919999786,10101.466979999797,9507.263039999809,8913.05909999982,8318.855159999834,7724.651219999845,7130.447279999857,6536.243339999869,5942.039399999881,5347.835459999893,4753.631519999904,4159.427579999917,3565.2236399999288,2971.0196999999407,2376.8157599999527,0.0
hydrogen_compressor_low,hydrogen_low,37016.9822813276,38760.27293030958,40233.823059826216,41227.76793700913,41765.923658376094,47450.0376902207,57787.15880497317,68145.3458863576,78436.73552279972,83889.70421490647,89933.27778596382,91574.71957239292,94427.06836904932,102644.69916008548,111403.2533288175,115712.55293559043,123295.25563321973,123383.26482722652,163837.6903501131,165556.01722189502,167740.95177871795,171737.29768512075,178087.07563199417,181681.83344308636,185765.57605276644,191701.65840662367,279279.51778882823
hydrogen_decompressor,hydrogen,37016.982281327604,38760.27293030958,40233.82305982622,41227.767937009135,41765.92365837607,47450.037690220706,57787.15880497316,68145.3458863576,78436.73552279972,83889.70421490645,89933.27778596382,91574.71957239292,94427.06836904932,102644.6991600855,111403.25332881752,115712.55293559041,123295.25563321971,123383.2648272265,163837.6903501131,165556.01722189505,167740.95177871795,171737.29768512075,178087.07563199417,181681.83344308636,185765.57605276644,191701.6584066237,279279.51778882823
hydrogen_for_cement_conversion,coal_for_cement,44882.15471460469,44881.09816194525,44017.11324464789,42393.50250640671,42675.78707441116,43101.678426450766,44882.15471460469,44882.15471460469,44882.15471460469,44771.92857621939,44299.34391569162,44882.15471460469,44882.15471460469,44882.15471460469,44882.15471460469,44882.15471460469,44882.15471460469,44882.15471460469,44882.15471460469,44882.15471460469,44882.15471460469,44882.15471460469,44882.15471460469,44882.15471460469,44882.15471460469,44882.15471460469,44882.15471460469
methanol_synthesis,methanol,9997.061826269372,9997.061826269372,12458.886243127707,13689.393526399579,14919.900809671451,16150.408092943324,17380.9153762152,18611.422659487067,19841.92994275894,21072.437226030812,22302.944509302684,23533.451792574557,24763.959075846433,25995.384804512716,27227.744098913114,28458.376600558906,29689.009102204698,30919.641603850487,32150.274105496275,33380.90660714207,34611.53910878786,35843.07756768727,37073.741175161515,38304.40478263576,39535.951380316124,40766.64247386683,41997.333567417525
pv_ground,electricity,133250.74237976182,134869.0784259683,137904.73835186067,170317.57196366324,188827.02924872216,212044.7032895288,262901.75960757304,297124.75917272613,336676.2710883579,372247.7333435843,406319.03465078014,411364.494627225,431460.5283219487,461229.1434217409,482619.6317344851,519172.7001379812,573006.3225499135,592001.8820639725,706579.3574666553,715280.6184229072,723174.5849280619,736332.0391177308,752516.7328900903,763974.9425516557,777355.6162234683,796215.4588674553,1133643.182335153
refinery,oil_products,356899.00019999995,356899.00019999995,344704.99033333344,338607.9855,332510.98066666664,326413.9758333332,320316.971,301186.5998661836,282056.2287323671,262925.8575985507,243795.48646473425,224665.11533091785,205534.74419710142,186404.373063285,167274.00192946856,148143.63079565216,129013.25966183575,121779.83369565217,114546.40772946858,107312.98176328502,100079.55579710145,92846.12983091787,85612.70386473429,78379.27789855072,71145.85193236714,63912.42596618357,56678.999999999985
scrap_conversion_BF_BOF,coal,14269.420104377376,12996.425670128127,11474.839805807882,10073.52646634486,8672.213126881874,7270.89978741892,5876.196759650038,4264.465960297251,2652.691772897516,1042.9291805871346,140.03873724023686,109.38715400000109,87.61834921603176,59.182034865023134,46.62180990445894,38.23331464080154,77.94483945395453,205.72365540614092,287.0108668851734,423.22020527488337,600.4331211447823,745.1769095752153,924.9012154192084,1035.8859457822873,1084.347225404847,1110.5708444096492,7624.936107205802
