carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,77619.23668508868,78391.01827520735,79151.58392510298,79912.14957499862,80672.71522489427,81433.28087478991,82106.7645363581,82780.24819792628,83453.73185949448,84127.21552106267,84800.69918263085,85474.18284419904,86084.695019322,86675.59604016533,87266.49706100865,87857.39808185198,88548.54348335142,89239.68888485085,89930.83428635029,90621.97968784973,91313.12508934917,92004.2704908486,92695.41589234806,93386.5612938475,93884.0792907116,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,96401.75980125507,93932.26843644655,91462.92627992507,88038.10631231527,84367.0679308942,80061.73827115857,74292.05178948137,71822.6349978909,68810.80769288544,66152.43342756304,63017.836645418625,60476.13548363097,57669.175560045,55912.90411741053,54527.79989335623,53261.90018729752,52592.9376153656,52107.188152409646,51631.40028633777,51144.81036578541,50700.7306339811,50176.08478896343,49628.01669767004,48973.60377624231,48343.35710526976,47166.71003060883,45969.37632565293
coal_for_cement,32770.62052744678,33444.19380935562,34278.06080435272,34523.35372872214,34333.53836059505,33975.935231036645,33419.17163304404,32691.69776954367,31840.388924171722,30198.466206765086,29198.99393399194,24153.490678323895,19533.702379482635,14683.766753981545,10825.446051442428,8737.433143182683,7680.4523447719075,7324.629718918745,7171.671976778,7021.850061260214,6893.101501228293,6765.001936638005,6649.4401141394355,6533.878291640867,6418.316469142296,6302.754646643729,6187.192824145159
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,1348.663115601434,2039.502671561348,3160.306807753039,4057.8129687737187,8075.940540090035,10435.321300953843,14849.640296249236,18830.878770557338,24548.281136330592,32864.52393752963,44746.724657652485,45588.928056950564,47967.94186121439,51524.9205539977,54080.52682979867,54989.51696787664,56832.10940213812,61344.52055132896,66164.26882867303,70671.87653576289,74774.8655153299,77960.22197366232,81537.49874683376,85442.25980041275,90199.46101605226,140238.0384973201,152366.61282335746
electricity,3565.273545533893,3758.596911978674,2469.338509870413,1651.3214455539837,832.4883924029072,990.2356814351534,1230.3857510837922,1343.6174880889746,1578.1783197912182,1750.6964780150424,2012.8356619164629,1910.3404504991486,2704.4510076599054,2751.235890187604,2794.2713744376974,2843.723966588505,2878.749487848214,2921.2504944982215,2963.7708075192336,3009.206761419771,3049.995018308871,3092.6731201582247,3138.453396438548,3180.8610048459163,3222.9600459366734,3159.160791628166,3242.3853729597213
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,169321.03965092238,164983.59968965614,160646.4217993556,156309.1128735722,151971.80394778878,147634.4950220054,143297.186096222,138959.87717043862,134622.5682446552,130285.2593188718,127400.67198649856,126334.88201150038,125333.00085663312,124349.97334142926,123389.1962279896,122442.4289462661,121597.56138356158,120701.53319727327,119853.09030403727,119002.21472133201,118148.24411288714,117290.38106958699,116430.7834855111,115558.34140450135,114687.52508617379,113761.59064202388,112833.1351559025
limestone,33369.839931203685,32515.0159972315,31660.243712281757,30805.445602820797,29950.647493359837,29095.849383898872,28241.051274437912,27386.253164976948,26531.455055515988,25676.656946055027,24841.560727340624,24055.231355906348,23455.44664863767,22910.69418687305,22430.888843771605,21991.977063517326,21771.221992310635,21609.565928662374,21447.85154142395,21279.847839800746,21117.510765862142,20940.026545203178,20752.267078403416,20525.3533404524,20303.1850719522,19920.13146321373,19529.71913737064
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,470755.4678891588,467533.63205052563,473282.63551052875,475318.4787797533,474123.7290815191,473416.7395162519,408251.36063194973,400541.6956522103,390795.2397543421,362511.0937676998,329150.37255388935,315248.9468905059,283986.256414631,271692.85983322223,236644.8351768123,217870.54153910352,206216.61013593842,189946.88169093753,176805.14916221658,165786.01993807693,139315.4944367019,126800.7749909164,114910.63170406298,96347.54782265947,88167.18713254464,26369.76762891291,280.9294546042585
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,68416.999858951,71187.26260793494,74298.8964653661,77239.84476857368,80180.79307178123,83121.74137498872,86062.6896781963,89003.63798140384,91944.58628461135,94885.53458781891,96836.09119816324,97552.33945458094,98268.58771099862,98984.83596741632,99701.08422383403,100417.33248025172,101114.97741716607,101864.99999999997,102579.99999999997,103294.99999999997,104009.99999999996,104724.99999999996,105439.99999999996,106154.99999999997,106869.99999999997,107584.99999999996,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,1437.0167800559323,1635.6634136526839,1930.4054770160876,2192.456060059966,3071.171928521818,4460.961890807785,33216.15085933272,33335.85372678673,33604.70376446932,41304.250114799506,50230.65951434903,58956.619094660404,73702.93509887053,79744.61175971193,94955.20344274396,102726.6359727173,105626.26079988644,112588.76458241642,117984.763227539,122545.41315497433,132202.82671618724,136162.65235648787,141195.80377086368,149309.02400817515,150334.35814758987,150876.50129517997,157133.26219943978
