carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,82107.04523770322,80912.46817909299,79970.14433622325,67147.55177214048,66039.10021919591,64904.49377746756,63756.744119976865,62838.27346858489,61776.68501946958,60704.54938510765,59274.66156176482,58133.896569077,57187.315263326454,56346.664818414305,55460.67510267241,54371.9915555766,53391.958907623055,52966.057978211524,52282.11999969337,51925.934669067916,51548.91596523931,51004.560979118076,50328.671077587605,49320.35421866756,48129.42129398771,46300.9264643236,33.010206848124334
coal_for_cement,70193.70206606368,70194.75861872312,71058.74353602048,72682.35427426166,72400.06970625721,71974.1783542176,70193.70206606368,70193.70206606368,70193.70206606368,70303.92820444898,70776.51286497674,70193.70206606368,70193.70206606368,70193.70206606368,70193.70206606368,70193.70206606368,70193.70206606368,70193.70206606368,70193.70206606368,70193.70206606368,70193.70206606368,70193.70206606368,70193.70206606368,70193.70206606368,70193.70206606368,70193.70206606368,70193.70206606368
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,1402.6392917078406,702.3358231759964,731.4412082407026,883.6911262404942,1011.9021989615549,1186.2169927634704,1360.5317865653867,1534.8820061738054,1709.1613741692145,1883.2786393020494,2043.424346109932,2098.5950790050415,2400.6177511458513,2705.706520695707,3018.9382994423227,3523.110378032811,4392.397829764856,4335.18265740387,4254.502212759845,4222.949823664351,4164.691575778986,4108.6395608577595,4052.587545936536,4000.0463770687165,4329.558362595942,4335.602862169298,4424.7957641727135
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,142324.8394534541,140395.7673407651,138945.77779693136,137255.346022607,135564.91424828256,133874.48247395805,132185.53100109412,130972.49300023064,129759.44528312494,128546.84803905094,127448.65681355045,126529.81982279231,125648.1034522763,124771.88894105375,123913.69894420277,123051.93392143372,122201.45879152192,121378.61706115972,120496.62908100315,119690.5289518388,118882.30519933422,118041.05958185159,117187.96994640626,116265.96007702556,115301.6093572722,114235.13866400684,107924.56375710352
limestone,31055.8799142781,30407.4875101837,29801.13650261141,29172.739582292503,28544.342661973584,27915.945741654665,27289.233302308003,26710.58791730674,26131.93147589196,25553.787641720053,25027.662987157983,24677.18267475256,24431.511713296648,24204.5594442882,24023.887390489166,23831.116309675384,23652.115718924146,23518.650791896973,23231.085062725233,23143.12515625015,23032.613056808015,22838.662514071362,22596.188919262553,22179.95824147847,21665.07436136799,20860.979632859657,2162.096171549524
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,449674.16620031896,450915.69693928066,458739.1802289872,457876.79196212074,447986.59724808566,431657.3509663353,402685.3020999401,368207.1786285722,329646.68761012243,295711.61824263574,264406.27985031134,259491.07850417696,240481.1205816971,213539.00648810854,192401.3485745324,159877.569633914,105226.92425641273,92455.95289906704,15321.302930659052,12693.698837977581,11124.417388810562,7553.472926266857,2995.942812711986,3177.092486771238,3256.977631064673,4189.456309846468,39450.56165296612
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,88749.99999999997,89799.99999999997,90849.99999999997,91899.99999999997,92949.99999999997,93999.99999999997,94714.99999999997,95429.99999999997,96144.99999999997,96859.99999999997,97574.99999999997,98289.99999999996,99004.99999999997,99719.99999999997,100434.99999999997,101149.99999999997,101864.99999999997,102579.99999999997,103294.99999999997,104009.99999999996,104724.99999999996,105439.99999999996,106154.99999999997,106869.99999999997,107584.99999999996,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
