technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,4078.166679414006,4087.5561652453507,4096.945651076696,4106.333349240746,4115.724622739384,4125.1141085707295,4134.503594402073,4171.209596346025,4469.761907869214,4604.193873496537,5427.573213465737,7980.62203460433,12593.42475948045
BF_BOF,coal,94869.21900441464,89876.1022147086,84882.98542500257,79889.86863529653,74896.7518455905,69903.63505588447,64910.518266178435,59917.4014764724,54924.28468676637,49931.16789706033,44938.0511073543,39944.934317648265,34951.817527942236,0.0
BF_BOF,iron_ore,166629.26927698468,157859.30773609076,149089.34619519682,140319.3846543029,131549.42311340896,122779.46157251502,114009.5000316211,105239.53849072717,96469.57694983324,87699.61540893931,78929.65386804538,70159.69232715145,61389.73078625751,0.0
BF_BOF,limestone,32839.34503998968,31110.95869493587,29382.571877885504,27654.185296833417,25925.798715781326,24197.41213472924,22469.02555367715,20740.638972625064,19012.252391572973,17283.865810520885,15555.479229468796,13827.092648416708,12098.70606736462,0.0
BF_BOF,scrap,15203.400481476703,14403.221508767403,13603.042536058103,12802.863563348803,12002.684590639503,11202.505617930203,10402.326645220903,9602.147672511603,8801.968699802303,8001.789727093002,7201.6107543837015,6401.4317816744015,5601.252808965101,0.0
BF_BOF_CCS,electricity,74.37849942493386,74.37849942493386,12156.055963142793,15320.448395779085,18835.777598200264,21407.660732554836,21588.429924110646,21509.759365928163,20744.77440284936,20037.436232068714,18351.590770599276,16364.261726492667,14318.729010681083,0.0
DAC,electricity,0.0,0.0,-0.003035012155440925,0.0,0.0,0.0,-0.006682768904228795,0.0,0.0,10752.551827325524,23623.557708420823,23641.28498789008,27537.328709457528,79308.65674269832
DRI,iron_ore,53090.775814826186,50090.33890032813,45319.83043363022,40572.04600968838,38402.19085125852,56776.31940769295,108897.1336698459,123030.56595000751,123922.68551506786,123238.00501369807,122553.32451232822,121868.6440109584,121183.96350958849,123662.00000000006
DRI,natural_gas,99636.11341976264,94005.15656636925,85052.28451242931,76142.05894968916,72069.8650222249,106552.81861443746,204368.59332560122,230892.97993357579,232567.2317200589,231282.28338187173,229997.3350436845,228712.38670549728,227427.43836730992,232078.00000000012
EAF,direct_reduced_iron,54932.79578418635,63014.22687739647,71095.65943853515,79177.09126570953,87258.52309288392,95339.9549200583,103421.38650529085,111502.81857440707,119584.25040158158,126585.68218325598,133587.11396493035,140588.54574660474,147589.97752827907,193000.0
EAF,electricity,46143.548458716534,52931.951193543035,59720.35392836952,66508.75640509979,73297.15939802249,80085.56213284897,86873.96486767546,93662.36760250194,100450.77033732852,106331.97303393502,112213.17515963253,118094.37842714797,123975.58112375441,162120.0
SMR,natural_gas,466819.8840752388,492543.5187809052,515430.74248816154,535364.9779028317,535899.2861084314,537280.6624577353,551389.7863582809,556459.7590628068,557036.4872327494,551250.7560444416,444606.26231755706,297706.06763823197,166654.34651790906,0.0
SMR_CCS,natural_gas,2701.94535,4898.177316546182,6975.222573959554,8269.911162129443,20374.11831772822,25880.60367695678,31724.599029683544,38263.6635386723,45225.40526756987,45293.10313799304,46075.12881123536,46075.11924165211,46418.56252908543,431.8984682059555
anaerobic_digestion,wet_biomass,1387.8571910270593,1986.7050316501745,2750.1779890301946,54690.29201895751,54945.447748342776,65445.736091215505,87868.2268058023,108798.64753131974,130530.18986469283,155004.86474709894,159937.59943024092,160949.13095130576,161477.36425768473,21028.81079441832
biomass_to_coal_conversion,biomass_cement,76804.00599905285,78646.08367715118,80422.28037888628,82198.47708062141,83800.50980570161,85402.54253078184,87004.57525586203,88606.60798094224,90090.74950819007,91752.20923948122,93413.66897077234,95075.12870206349,96736.58843335464,98398.04816464576
biomethane_DRI,biomethane,58.66666035712696,194.44482570625516,244.25230495901272,21870.43127695708,18105.69839973825,27337.066376220224,59596.01874044105,71875.36916099979,94245.62231656129,115537.66802455328,135008.18038245768,179107.09848795054,190226.76544087162,46635.03856708326
biomethane_SMR,biomethane,2997.8545331291125,4239.121812674272,5944.999818696927,103394.26028054862,107256.40545475639,120767.70233281687,139243.6280946463,173558.68118326407,189187.74538145395,224497.210507505,211371.93429994324,159042.35844931536,141594.36990494744,0.0
biomethane_SMR_CCS,biomethane,0.0,0.0,0.0,0.0,195.6813136883012,1101.5630062030557,2556.962442273004,3985.7954422122193,16061.496525887846,15892.725648050375,20777.334053549646,31284.711877501144,38943.850512700854,431.8984682059554
biomethane_haber_bosch,biomethane,135.56949842014856,135.88235110881075,136.19520379747263,523.734816654819,817.5029047338805,1319.7644511325252,701.5249647903746,818.5449659038385,726.3737923185247,585.7238181868751,701.23710571863,751.053484569983,635.1803351521495,1299.617991203077
carbon_conversion,carbon,596.780793260412,901.1788482217678,222.52355543200122,856.3172018194093,1128.9216683600857,1976.2823401581145,2395.6867029892283,3271.8387691777843,3172.936198458893,4150.609252156354,8150.46683640734,21846.080609218858,48237.79746452234,91466.93703574533
carbon_evaporation,carbon_liquid,0.0,0.0,0.23276217158915735,0.09421232617978656,0.2472209896807992,0.2943271527707001,496.0681920423274,1278.929988505282,1308.754304735738,1731.4562240566636,2848.805851287705,5545.476215175556,18269.720167190568,61900.760744101215
carbon_liquefication,carbon,0.0,0.0,37074.589480544084,46077.34108879498,57988.598982256786,65598.68943476699,67062.1117506985,68316.6237693038,68499.7119761863,71793.83028268348,73119.08564723456,75944.88748381771,86526.0036201764,95076.09323673473
carbon_liquefication,electricity,0.0,0.0,2816.185816942129,3500.0348291048663,4404.813978692226,4982.8764494649,5094.038008583058,5189.330741516316,5203.238121711111,5453.459348272638,5554.125745763937,5768.772893215664,6572.515234988599,7221.98004226237
carbon_storage,carbon_liquid,0.0,0.0,35220.62516010603,43773.37982202905,55088.92181215466,62318.46063587587,63212.933538249556,63621.862592333324,63765.97208140125,73847.54663235114,82817.04000000001,82817.04000000001,82817.04000000001,82817.04000000001
carbon_storage,electricity,0.0,0.0,1328.1697747875983,1650.6941530887154,2077.403241536352,2350.029150578879,2383.759723727391,2399.1804383568897,2404.6148071896414,2784.790983505962,3123.0305784000006,3123.0305784000006,3123.0305784000006,3123.0305784000006
cement_plant,coal_for_cement,115075.85678066837,115728.17072440786,116380.48466814728,117032.79861188677,117685.11255562623,118337.42649936571,118989.74044310515,119642.05438684461,120294.36833058407,120946.68227432355,121598.99621806297,122251.31016180245,122903.62410554192,123555.93804928134
cement_plant,electricity,20050.44712336292,20164.104206635475,20277.761289908016,20391.418349009527,20505.07545645312,20618.73253972567,20732.38962299822,20846.04755219203,20959.703789543317,21073.36087281587,21187.017956088413,21300.675039360965,21414.332122633514,21527.98920590606
cement_plant_oxy_combustion,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.472667184446735,530.4843083228445,824.8300431529988,3173.976119965744,8213.39599607398,17217.14717320863
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.11807752558798,1107.60459979495,1722.1726175721953,6626.983107620785,17148.848783011606,35947.889702303735
e_haber_bosch,electricity,362.2004775964872,1412.0401097744148,2461.8797419523344,3511.7193741302567,4595.529991651987,5679.3406091737215,6763.151226695456,7846.961844217187,8930.772461738921,10014.58307926065,11098.393696782388,12182.204314304121,13266.014931825852,9855.826455456976
e_haber_bosch,hydrogen,2434.2855897045374,9490.07277438777,16545.85995907095,23601.647143754148,30885.747335198823,38169.84752664352,45453.947718088224,52738.0479095329,60022.148100977596,67306.24829242227,74590.34848386698,81874.44867531168,89158.54886675636,66239.27299697285
e_haber_bosch,nitrogen,341.0652094529851,1329.6441765953584,2318.223143737724,3306.8021108800926,4327.369774747809,5347.937438615529,6368.505102483249,7389.072766350966,8409.640430218686,9430.208094086402,10450.775757954123,11471.343421821844,12491.91108568956,9280.715300733515
electrolysis,electricity,2506.0064276034464,2618.8340179179368,2068.333193505648,1887.7004874391607,2219.137036285513,6606.847642134891,8541.122686334942,11330.449114645195,27594.47806030139,34917.25716301491,124257.86591546978,312433.35441749025,522269.5255564124,1168870.5268245845
gasification,dry_biomass,219.84854303311084,2389.8783683106185,12027.83626328156,27636.242325273804,44789.69537487693,64238.20812903606,73174.62809990077,101817.82481565978,119909.85411654903,134917.52111155572,168142.3406505995,173426.41305470633,170073.06014207378,0.0
gasification,electricity,12.67649234427386,137.80066231811486,693.5263305292734,1593.5089194931265,2582.5790004734044,3703.982488685196,4219.2574947552675,5870.827520525984,6914.01601639225,7779.359826011955,9695.106752127072,9999.78697630832,9806.432260656497,0.0
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,40.78722859326866,234.22826677277905,3788.940430010194,9646.295552723546,26982.48959515162,66493.18444177987,102516.90081708074,116309.2180022042,157521.48067942922
