technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,14181.865435979991,13935.055274237948,13688.245112495897,13441.434950753845,13194.624789011792,12947.814627269741,12701.00446552769,12454.19430378564,12207.384142043587,11975.53111375152,12913.533909839422,13639.627308869625,13376.888909098063,22013.911243033173
ASU,oxygen,14150.665332020835,13904.398152634625,13658.130973248406,13411.863793862187,13165.596614475966,12919.329435089749,12673.06225570353,12426.79507631731,12180.527896931093,11949.184945301267,12885.124135237776,13609.620128790113,13347.459753498048,21965.480638298504
BF_BOF,steel,121627.20385181363,115225.77207013922,108824.34028846482,102422.90850679042,96021.47672511602,89620.04494344162,83218.61316176722,76817.18138009282,70415.74959841842,64014.31781674401,57612.88603506961,51215.0396385018,44813.6078568274,17492.236847837874
BF_BOF_CCS,carbon,68.39716715704985,68.39716715704985,18772.091749931813,35369.813819890944,44034.75389771214,53258.17419798257,61577.13280357414,61428.980376208216,60996.65089705662,58933.07230207998,54755.02375043688,48910.36285476922,42796.99550327017,16705.08618968517
BF_BOF_CCS,coal,12.290970938121859,12.290970938121859,3373.344887462747,6355.955543434402,7913.04527541887,9570.493903377466,11065.410764802273,11038.787773604618,10961.098166201074,10590.273092683772,9839.477767953507,8789.19220500203,7690.620091937649,3001.903988286425
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33822840875378846,16.083169774992154,27.14440226778381,15391.161165261065,15905.439124977967,17700.83507725056
DRI,direct_reduced_iron,22105.218427998734,20991.043242324147,30039.75542280197,27773.508196528972,24519.769949449063,22348.931623112352,24283.186032723926,55502.681545322914,72502.20758385288,73443.438516982,72716.01775900692,71988.39478531183,71260.97402733674,71713.43784178194
EAF,steel,54932.79578418635,61675.766055399225,68418.73632661215,75161.70659782503,81904.67686903787,88647.6471402508,95390.61741146367,102133.58768267656,108876.55795388944,115619.52822510232,122362.49849631521,129101.8833824215,135844.85365363437,163507.76315216208
SMR,carbon_methanol,78489.58844229084,78995.10375136172,80059.36225721861,79033.1650068095,74163.19793191568,70085.26704861986,69531.02401808683,68997.87653156831,68058.41543608658,67698.69193101149,66928.17697512363,64189.315782320584,39403.86574765114,17918.718607021052
SMR,electricity,14818.83429790451,14914.275588257095,15115.207594162875,14921.461553285633,14002.011769545681,13232.098418779431,13127.457334614794,13026.799089160098,12849.428834333148,12781.51303657497,12636.039822491775,12118.942829290561,7439.449853156537,3383.0540730055745
SMR,hydrogen,358809.5471647581,361120.4742919393,365985.6560329994,361294.4686025577,339031.7619744717,320389.7922222622,317856.10979696835,315418.8641443123,311124.1848506815,309479.7345417668,305957.38041868777,293436.872108731,180131.95770354808,81914.1422035248
SMR_CCS,carbon,374.48999999999995,658.1325493271164,728.4583594069447,1619.0942690570118,3379.408434361126,4835.90488141634,4896.556913948022,5182.693067305427,5304.839939384594,6167.185897553042,6508.887604960904,6793.3203811778585,10590.76912345326,10656.723528179744
SMR_CCS,carbon_methanol,455.10937499999994,799.8138620294818,885.2792562237177,1967.6492853123411,4106.919972313868,5876.967737832358,5950.676805145166,6298.411713739234,6446.854093002111,7494.8439727207115,7910.10646436221,8255.771296570314,12870.72636530778,12950.879287718439
SMR_CCS,electricity,33.288,58.500671051299236,64.7518541695062,143.9194905828455,300.3918608321001,429.8582116814525,435.24950346204645,460.68382820492684,471.54132794529727,548.1943020047149,578.5677871076359,603.8507005491431,941.4016998625119,947.2643136159772
SMR_CCS,hydrogen,2080.5,3656.2919407062027,4046.9908855941376,8994.968161427845,18774.491302006256,26866.13823009078,27203.093966377906,28792.73926280793,29471.33299658108,34262.143875294685,36160.48669422725,37740.66878432144,58837.606241407,59204.01960099858
anaerobic_digestion,biomethane,1374.883431468994,2299.875685799466,4432.477528079581,10653.12223163262,40202.83369870925,94170.1405454195,132134.3187122982,174248.66815116617,227565.3920167986,279913.4140637431,305519.7829172086,350398.3770270201,370107.68300147913,371865.48974236264
biomass_to_coal_conversion,coal_for_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.2481979263,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane_DRI,natural_gas,0.0,53.850138650949646,726.9746063569478,2733.758121915884,8759.596870291723,16754.276008767316,21936.51093851881,49954.46169303225,85744.16757565629,98169.59605623026,107537.0446856716,124654.898280131,168515.3285179838,188262.35877927524
biomethane_SMR,natural_gas,1239.3139330488452,1860.0522941111099,3319.3734277213966,7337.397863457127,30693.727848071976,76086.07746002253,103109.89369110376,114863.38318288942,131010.33647750458,160652.21797295575,174995.3267926165,197055.42807143804,171688.84854721598,106381.89647971766
biomethane_SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,370.7293615065481,5618.17771452807,8401.31599011473,9851.253845535923,20196.985313845653,22168.754455954513,28044.67631645443,29487.258776683717,76888.26025581686
biomethane_haber_bosch,natural_gas,135.5694984201488,385.9732530374063,386.1294940012369,581.96624625961,749.5089803455452,959.0577151231172,1469.7363681475504,1029.5072851297862,959.6341181018272,894.6147207114149,818.6569829659636,643.3743589966016,416.247159595658,332.9742275529058
carbon_conversion,carbon_methanol,442.8871671570498,726.5297164841663,68.9089861813405,68.90898618134051,1104.0017237070535,807.8357083229221,1403.2812550561675,1533.814074340615,1469.9019963568767,1044.6412224377393,648.8481200917499,304.04462712787574,4130.789117532212,17285.987460805405
carbon_evaporation,carbon,0.0,0.0,0.1995106146671099,0.1995106146671099,0.12329083174612836,0.0,11.93771160507411,29.262324161171087,355.2736478821304,332.80757078489364,130.6404269616466,0.0,307.3160760661553,750.9641493001656
carbon_liquefication,carbon_liquid,0.0,0.0,18460.24860208348,35074.188682712214,43994.76970423805,54421.93120252218,61828.22886536751,61904.09822060922,62577.81236317297,62454.610311955854,64911.75256658448,65956.13823325402,67218.91695108819,65867.16907204961
cement_plant,cement,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258
cement_plant_oxy_combustion,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.73445449397882,4431.108255045576,7185.481545810739,7279.08120138754,35602.30198363995
e_haber_bosch,ammonia,414.4170224216101,1286.5959469985607,2158.774871575502,3030.953796152441,3931.3549144395965,4831.756032726754,5732.15715101391,6632.558269301066,7532.959387588222,8433.360505875378,9333.761624162535,10234.162742449691,11134.563860736847,12006.742785313787
electrolysis,hydrogen,1608.1885077791026,1652.8146035736986,1479.1129317748184,985.2277948157645,989.3804686152228,693.5260097929594,600.345204649288,524.4994259845033,496.7603438795042,551.0135139117059,393.591913913993,3606.392263427662,13848.382144406743,97774.27420765079
electrolysis,oxygen,10.03348810003382,10.311910311696304,9.22818558134309,6.146836211855554,6.172744743690374,4.326908775098273,3.7455537318069076,3.272351918717316,3.0992933058020924,3.4377747019192304,2.455623256608953,22.50028133152518,86.40006171929154,610.0136967815332
gasification,carbon_methanol,26.22147596319264,44.04487558653387,373.7601168206773,2035.5192738722806,3297.799949873213,4272.885781722159,4389.020024350569,4643.273837181608,5184.590545584507,5470.361841658237,5701.475299602798,5961.691586009427,20603.662253694107,19172.048763763054
gasification,hydrogen,119.86960440316636,201.3480026812977,1708.6176768945247,9305.230966273282,15075.656913706116,19533.192145015582,20064.091539888315,21226.39468425878,23700.98535124346,25007.368419009083,26063.887083898506,27253.44725032881,94188.17030260163,87643.65149148826
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0869599386659,684.5189469524537,1290.536062742534,3151.348679091462,6842.393775111145,13913.381898711083,22904.77379110524
gasification_CCS,carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.251701910694344,487.7476209962516,919.5594909606818,2245.464246095301,4875.484163861769,9913.851108609282,16320.583930958539
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.43635159174562,2229.703410268579,4203.700530105974,10264.979410721377,22287.927606225232,45320.462210785285,74608.38368438189
h2_to_ng,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401.2295718926766,1608.9422273388998,1829.8285094586176,2251.9935470916917,5018.089751401292,8148.713342688585
haber_bosch,ammonia,16817.49723757838,15645.427472488618,14473.357707398856,13301.287942309096,12100.99598350912,10900.704024709143,9700.412065909166,8500.12010710919,7299.828148309212,6099.536189509236,4899.24423070926,3698.9522719092824,2498.660313109306,1326.5905480195452
hydrogen_compressor_low,hydrogen_low,22527.749696450224,23615.692675335053,23512.270634640434,22878.599080272477,22759.020990939855,24556.99987379975,23565.631922407745,25846.462734341323,32508.70614049611,34472.066259069834,38189.35974810836,43707.24133892646,86755.30401596223,143024.18071434912
hydrogen_decompressor,hydrogen,22527.74969645022,23615.692675335053,23512.27063464043,22878.599080272477,22759.020990939855,24556.999873799752,23565.63192240775,25846.46273434133,32508.706140496128,34472.06625906984,38189.35974810837,43707.241338926455,86755.30401596225,143024.18071434912
hydrogen_for_cement_conversion,coal_for_cement,4221.081345032492,831.2797239929808,29.27292206159015,0.0,2.1231667277029134,314.5731834085951,5270.6739707120305,12369.902086751865,18524.751325897472,18624.196143628033,17557.024302131653,16422.146175680322,15270.979017678577,14510.769537932074
methanol_synthesis,methanol,9997.061826269372,12458.886243127707,14919.900809671451,17380.9153762152,19841.92994275894,22302.944509302684,24763.959075846433,27227.744098913114,29689.009102204698,32150.274105496275,34611.53910878786,37073.741175161515,39535.951380316124,41997.333567417525
pv_ground,electricity,50802.497455509416,56095.29268556679,68612.107100589,80088.82702782226,88633.7901609324,97113.79005305888,105266.83536798216,109893.41530332703,115057.57769187946,119809.75946202003,124126.3025527901,151640.48364906496,163501.54954368912,90823.0586441118
