carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.2481979263,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,65501.85163334813,64176.89004193393,51970.33788304237,48515.29894569935,47712.3242877406,46007.64479245782,41427.728439107064,16698.273522168085,2542.6626322460615,563.3255864344405,198.76104325288432,134.3114414519741,117.5236866045313,45.87339113345509
coal_for_cement,34050.76943658303,35853.55878146805,35134.43428360815,33642.57590587845,32293.485416014377,30634.06807619711,24330.9999657573,16030.358653751178,8693.707372918925,7211.9717521894845,6896.852790686981,6649.4401141394355,6418.316469142297,6187.192824145159
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,193.33768494186702,324.754193524665,2755.829451063179,15008.407025502178,24315.527036116597,31505.08561069563,32361.373244685863,34525.464877723316,41823.60790344277,47114.533108027674,58594.8287691724,79905.28350613601,225013.47338084175,261696.30753516094
electricity,4113.046551719989,3396.6975497476597,2014.8791046206136,1330.2123385774544,1849.0166190473758,2904.521426613276,3254.260076674472,4082.5427009456325,4692.840335798176,5045.183998043581,5492.180068117272,5942.2633568315705,6485.226322328957,9141.123174488246
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,143366.25715459292,139909.3529204635,137062.22192830333,133536.19337173805,130888.91535392428,128306.6113313552,125970.61287294299,125391.72888071001,123959.64672003289,121564.06685303172,119068.36788456432,116573.17666399413,114077.4776955267,108619.1806134434
limestone,28079.062380509404,26945.511777558695,24592.414690669702,23597.112732590802,22800.70969700873,21874.35867093748,20455.39651655243,15522.205429808895,12295.410679953638,10995.611342746488,9896.05020847184,8797.104928626179,7697.54379435153,3004.6065388794163
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,532102.511120751,532878.1714001001,562070.6636681323,549679.8050257644,494701.66708480386,420783.28569058113,384964.8023733663,426989.81877473,413853.0830845312,367661.2263292533,337430.4615656021,275626.5405268387,131106.23251592583,83.74756451871953
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999996,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999997,105439.99999999997,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,597.7718183340892,999.9399506718917,1927.1525796584403,4631.764483869231,17479.388035524807,40943.29370633749,57449.35908973301,75759.83593876404,98940.8811410637,121700.75416663421,132833.89121674394,152346.20636380778,160915.41841538312,161679.67763018442
