carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905285,78646.08367715118,80422.28037888628,82198.47708062141,83800.50980570161,85402.54253078184,87004.57525586203,88606.60798094224,90090.74950819007,91752.20923948122,93413.66897077234,95075.12870206349,96736.58843335464,98398.04816464576
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,54923.03522725684,55284.81494487455,50055.17848344172,49603.13409973416,48151.7942214018,36794.43663551193,9616.764195618995,1832.3047925351302,1127.787117884696,392.3097045134673,182.34860954264533,134.30203877953207,117.51428393208927,0.0
coal_for_cement,33372.42846323682,35459.9857762137,35672.62478161242,34819.341931265364,33542.581772357305,32631.907148094542,29669.93386583153,19385.721600693603,8446.438687221711,8020.726562923917,7813.110171531692,7605.493780139475,7420.810800624603,7250.205642187754
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,219.84854303311084,2389.8783683106185,12027.83626328156,27636.242325273804,44789.69537487693,64278.99535762933,73408.8571718539,105606.76524566999,129556.14966927258,161900.01070670734,234635.5250923794,275943.31385426706,286382.278126758,157521.48067942922
electricity,3904.018949226047,3486.4124647841995,2260.0864652302585,1581.6346978109564,3070.5694919813945,3666.004480999096,4146.375527684147,4925.214589698837,5693.311245540885,6427.578380317605,6925.399862557429,7422.541428180008,8837.996225648012,1057304.730006194
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,144221.7567536319,142582.2435823659,140869.98774457112,139158.66577154715,138491.28609710585,138668.17972601514,140231.9234524197,140234.5418918931,139692.99679512967,137574.65163193608,135456.30646874243,133337.9613055488,131219.61614235508,123662.00000000006
limestone,26368.063182431484,25508.038197161623,24793.498544949285,24077.09116319535,23229.199184276044,20692.760598655565,15382.621818044525,13194.733611295786,12095.172477021135,10995.611342746488,9896.05020847184,8796.48907419719,7696.927939922542,0.0
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,570187.0440554603,590807.0781687798,604770.9594293619,497335.1615105711,505013.3479638902,521932.0818895206,587827.6644965198,576451.2640115537,534722.8435258284,470513.2777356715,350531.68359611294,186487.4659297663,32637.548293204283,105.46121896738686
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999996,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999997,105439.99999999997,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,1387.8571910270593,1986.7050316501745,2750.1779890301946,54690.29201895751,54945.447748342776,65445.736091215505,87868.2268058023,108798.64753131974,130530.18986469283,155004.86474709894,159937.59943024092,160949.13095130576,161477.36425768473,21028.81079441832
