technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4068.7771935814203,4068.7771935814203,3935.4059932194673,3868.7203930393175,3802.034792860616,3735.349192679846,3668.6635924996967,3601.9779923157002,3535.2923921379706,3468.6067919587726,3401.9211917779407,3335.2355915970884,3268.5499914158218,3201.864391236231,3135.178791057033,3068.493190872685,3001.807590692866,2935.121990512448,2868.43639033325,2803.8770217561478,2750.602170843992,2704.7535046908697,2717.96472396611,2651.294928823528,2587.3141148928134,4858.2901769370765,5019.9683489183635
BF_BOF,coal,96440.80336073742,93979.01448,91505.5973455034,89035.42684880983,86564.19191414045,84092.95697947037,81621.72204480099,79150.48711013091,76679.25217546153,74208.01724079147,71736.78230612207,69265.547371452,66794.31243678262,64323.077502112545,61851.84256744309,59380.60763277337,56909.37269810363,54438.1377634339,51966.90282876418,49495.66789409445,47024.43295942472,44553.198024754995,42081.963090085264,39610.728155415534,37138.89442741554,34665.76246741553,32192.63050741553
BF_BOF,iron_ore,169389.61615924395,165065.70492,160721.3696965893,156382.73690111472,152042.23451586207,147701.73213060823,143361.22974535558,139020.72736010174,134680.22497484912,130339.72258959526,125999.22020434262,121658.71781908878,117318.21543383614,112977.7130485823,108637.21066332953,104296.70827807629,99956.20589282305,95615.70350756981,91275.20112231658,86934.69873706333,82594.19635181008,78253.69396655685,73913.1915813036,69572.68919605036,65231.13508405036,60887.30074405036,56543.46640405036
BF_BOF,limestone,33383.35500948603,32531.19732,31675.014465751174,30819.955447664943,29964.527970279385,29109.100492893594,28253.673015508037,27398.245538122243,26542.818060736685,25687.39058335089,24831.963105965333,23976.535628579542,23121.108151193985,22265.68067380819,21410.253196422607,20554.825719036933,19699.39824165126,18843.97076426558,17988.543286879907,17133.115809494233,16277.688332108557,15422.260854722883,14566.833377337207,13711.405899951531,12855.771147951531,11999.68700795153,11143.602867951531
BF_BOF,scrap,15455.256948836124,15060.7395,14664.358548958877,14268.497892437474,13872.466652907124,13476.435413376663,13080.404173846313,12684.372934315852,12288.3416947855,11892.310455255041,11496.279215724691,11100.24797619423,10704.21673666388,10308.18549713342,9912.154257603059,9516.123018072654,9120.091778542248,8724.060539011844,8328.029299481439,7931.998059951033,7535.966820420627,7139.935580890223,6743.904341359817,6347.873101829412,5951.745901829412,5555.410651829412,5159.075401829412
BF_BOF_CCS,electricity,0.0,0.0,0.0,0.18595612339447307,0.37191224617001895,7.905574527978981,7788.577507256101,7788.577507256101,7788.577507256101,7788.577507256101,7780.398431078921,7788.577507256101,7788.699604111283,7787.2273669336055,7785.774994810625,19872.28782342712,20838.51408051803,20828.395975732223,20617.252570159824,20066.8671636006,19121.774388532198,18174.8201476716,17200.815554293127,16219.426148312534,15214.709925666206,14176.9234733952,13164.2860824384
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.252756605238517,69.40445759447553,152.68042206547523,1219.8000802395625,1636.131396164348,3478.341578566643,3998.4723183260517,4204.1377903107505,29264.06363904912,29833.34288197415
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.711642301182697,0.0,1946.1091768230478,3366.753355579148
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71910952413739,0.0,3652.287085270652,6318.427530333469
EAF,direct_reduced_iron,52917.94404530749,56074.0836359965,56355.9005031113,58078.170384653524,59801.804930242804,61525.439475935455,63249.074021533495,64972.70856711139,66696.3431128312,68419.9776584012,70143.61220398697,71867.24674969188,73590.88129532672,75314.51584084066,77038.1503865482,78761.78493212609,80485.41947784415,82209.05402350088,83932.6885690814,85656.32311471447,87379.95766038084,89103.59220597976,90827.22675157341,92550.86129728971,94275.26352661736,96001.33015595289,97727.39678538564
EAF,electricity,44451.0729980583,47102.23025423706,47338.95642261348,48785.663123108956,50233.516141403954,51681.369159785776,53129.22217808813,54577.07519637356,56024.92821477819,57472.781233057,58920.63425134905,60368.48726974118,61816.34028807444,63264.19330630615,64712.04632470049,66159.89934298591,67607.75236138908,69055.60537974074,70503.45839802836,71951.31141636016,73399.1644347199,74847.017453023,76294.87047132167,77742.72348972336,79191.22136235858,80641.11733100042,82091.01329972394
SMR,natural_gas,465648.66449225455,462749.43183115666,447116.5489087617,437008.50427727395,429880.55866561027,422118.9658020259,411320.37295324105,385126.73810200614,363578.87582149927,339463.70425942366,307095.61593985243,295668.71156052157,275779.6943689479,254251.98772875965,232764.56825334235,212983.44794667873,193620.96179814148,188252.4462762741,182908.12773067006,177756.69844907866,146936.1954088491,140988.49999458695,137229.14405156433,131960.18835943955,126751.4518901795,84050.73991586317,73505.53137938937
SMR_CCS,natural_gas,2704.137399404966,2704.137399404966,2704.137399404966,4865.693679404966,4881.193746462032,5158.532998514481,13147.716124992128,13147.716124992128,13399.537431612127,16183.141372787342,16660.345594783696,16660.345594783696,16660.345594783696,16660.345594783696,16660.345594783696,16660.345594783696,14498.789314783697,14498.789314783697,14498.789314783697,14498.789314783697,14498.789314783697,14498.789314783697,14498.789314783697,14498.789314783697,14498.789314783697,56926.429149530646,63269.63140937561
anaerobic_digestion,wet_biomass,304.7087993026298,304.7087993026298,304.7087993026298,347.2572053989658,392.414728997055,419.02059016442695,714.7903183936501,714.7903183936501,714.7903183936501,714.7903183936501,714.7903183936501,714.7903183936501,714.7903183936501,714.7903183936501,714.7903183936501,714.7903183936501,714.7903183936501,714.7903183936501,714.7903183936501,714.7903183936501,63689.1988296087,63779.59320675657,63857.22860972293,63718.3560137859,61554.56204175426,63048.29618261666,62397.87579389244
biomass_to_coal_conversion,biomass_cement,76804.00599904348,77619.23668509093,76202.18774520668,75868.33813010417,75534.48851503409,75200.63889990578,74761.36679632394,74154.4309709484,73547.49514561266,72940.55932027522,71919.04883788092,70842.91100081215,69466.47668384049,67986.46532745514,66506.45397109716,64802.47689226346,62797.80298055216,60804.65496490589,58706.838744578235,56595.11623758223,54473.40646852211,52255.02011108134,49878.97857644619,47458.74537872759,44994.51191298693,42530.18034730326,39936.15583633121
biomethane_DRI,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1438219048274783,0.0,3642.8488511245528,6302.267446745938
biomethane_SMR,biomethane,567.5675998027091,572.1630082027091,576.7584166027091,679.2157461958091,785.4820326440127,851.2712888920552,1536.1411538660082,1540.7365622660081,1545.3319706660081,1549.9273790660081,1554.5227874660081,1559.1181958660081,1563.7136042660081,1568.3090126660081,1572.9044210660081,1577.499829466008,1582.0952378660081,1586.6906462660081,1591.2860546660079,1595.8814630660079,131722.11092846814,132045.06015750533,132319.84894662836,131159.82025520795,126333.93220730402,83847.77678547088,73505.53137938937
biomethane_SMR_CCS,biomethane,0.0,0.0,0.0,0.0,2.1920494049661525,2.1920494049661525,2.1920494049661525,2.1920494049661525,2.1920494049661525,2.1920494049661525,2.1920494049661525,2.1920494049661525,2.1920494049661525,2.1920494049661525,2.1920494049661525,2.1920494049661525,2.1920494049661525,2.1920494049661525,2.1920494049661525,2.1920494049661525,13463.006954249204,13488.729400367412,13511.589205976597,14498.789314783697,14498.789314783697,56926.429149530646,63262.004216469824
biomethane_haber_bosch,biomethane,133.2668436,128.6714352,124.0760268,119.4806184,114.88521,110.28980159999999,105.6943932,101.0989848,96.50357639999999,91.90816799999999,87.31275959999999,82.71735120000001,78.1219428,73.5265344,68.931126,64.3357176,59.7403092,55.144900799999995,50.5494924,45.954083999999995,1300.9183415999998,1160.1549813346198,1041.0688848,892.3447583999999,743.6206319999999,594.8965056,446.17237919999997
