technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,14181.865435975675,14181.865435975675,13716.995445170676,13484.560449771063,13252.125454376495,13019.690458974717,12787.255463575102,12554.82046816208,12322.385472770899,12089.950477374601,11857.515481972607,11625.080486570541,11392.645491167033,11160.210495769366,10927.775500373067,10695.340504958818,10462.905509560356,10230.470514159804,9998.035518763507,9773.011578097412,9587.320219044936,9427.513087106552,9473.561254674485,9241.181348286958,9018.173980107402,16933.74059580717,17497.27552777401
ASU,oxygen,14150.665332016528,14150.665332016528,13686.818055191303,13454.894416781566,13222.970778376866,12991.047139964974,12759.123501555237,12527.199863132122,12295.276224730804,12063.352586324378,11831.428947912267,11599.505309500088,11367.581671086467,11135.658032678673,10903.734394272247,10671.81075584791,10439.887117439324,10207.963479028655,9976.039840622227,9751.510952625598,9566.228114563037,9406.772558314919,9452.719419914201,9220.850749320727,8998.333997351165,16896.486366496392,17458.781521612906
BF_BOF,steel,123642.055590689,120485.916,117314.86839167101,114147.98313949979,110979.73322325699,107811.4833070133,104643.2333907705,101474.98347452682,98306.733558284,95138.48364204033,91970.23372579753,88801.98380955384,85633.73389331104,82465.48397706736,79297.23406082447,76128.98414458123,72960.73422833798,69792.48431209475,66624.23439585151,63455.98447960826,60287.73456336502,57119.48464712178,53951.23473087854,50782.984814635296,47613.9672146353,44443.285214635296,41272.603214635295
BF_BOF_CCS,carbon,0.0,0.0,0.0,0.5557564955005172,1.1115129891512818,23.626941207349013,23277.278862092353,23277.278862092353,23277.278862092353,23277.278862092353,23252.83452205296,23277.278862092353,23277.64376602296,23273.243774457875,23268.903152452553,59391.17699769013,62278.88248809931,62248.643083479445,61617.61078947945,59972.70521099999,57148.16015699999,54318.051845999995,51407.09968407988,48474.07695251803,45471.33868997671,42369.765311999996,39343.353504
BF_BOF_CCS,coal,0.0,0.0,0.0,0.09986944224144295,0.19973888415048538,4.245761334960618,4182.927011517995,4182.927011517995,4182.927011517995,4182.927011517995,4178.534363612917,4182.927011517995,4182.992584754326,4182.20190627008,4181.421896495724,10672.594506484917,11191.515183111447,11186.081162101256,11072.684658869457,10777.0951264167,10269.524380212899,9760.9539167262,9237.855813229155,8710.79162836749,8171.199562588814,7613.8468265664,7070.000624668799
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.320134845842603,47.60250863818624,104.71908234943432,836.6255694372858,1122.1751688370014,2385.6938124599747,2742.436432322395,2883.4964268249323,20071.37423803095,20461.82639367226
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9120837679333547,0.0,1332.9514909746902,2305.9954490268133
EAF,steel,52917.94404530749,56074.0836359965,56355.9005031113,58078.170384653524,59801.804930242804,61525.439475935455,63249.074021533495,64972.70856711139,66696.3431128312,68419.9776584012,70143.61220398697,71867.24674969188,73590.88129532672,75314.51584084066,77038.1503865482,78761.78493212609,80485.41947784415,82209.05402350088,83932.6885690814,85656.32311471447,87379.95766038084,89103.59220597976,90827.22675157341,92550.86129728971,94275.26352661736,96001.33015595289,97727.39678538564
SMR,electricity,14808.107987626176,14715.909397572012,14218.767590615123,13897.321341842933,13670.64531677039,13423.818655288884,13080.41226069828,12247.427645809545,11562.183392182891,10795.296054449987,9765.957448460696,9402.570098906246,8770.078830705745,8085.475547237833,7402.153437177978,6773.093401245732,6157.346363489061,5986.622030653824,5816.667186630226,5652.846420225572,4672.722622919434,4483.579771907632,4364.028374012171,4196.470146488684,4030.8269523865506,2672.900252964618,2337.5517409477025
SMR,hydrogen,358549.8302088662,356317.41882740945,344280.0869398335,336496.8847903858,331008.3611808811,325031.9286994887,316717.00389099953,296547.8848864296,279956.0143385688,261387.31366706992,236463.86073754713,227665.13556673718,212350.5770146669,195774.22632537124,179228.89678397038,163997.41891636155,149088.2896728586,144954.52858725967,140839.39919201515,136872.79467858525,113140.98360579742,108561.25355708551,105666.54658625112,101609.4466462151,97598.71555415376,64719.1344543491,56599.31576144558
SMR_CCS,carbon,374.7938183513466,374.7938183513466,374.7938183513466,674.3858183513466,676.5341297937675,714.9733885674955,1822.2752771991861,1822.2752771991861,1857.1777451991861,2242.985637253963,2309.126208563229,2309.126208563229,2309.126208563229,2309.126208563229,2309.126208563229,2309.126208563229,2009.534208563229,2009.534208563229,2009.534208563229,2009.534208563229,2009.534208563229,2009.534208563229,2009.534208563229,2009.534208563229,2009.534208563229,7890.010970135917,8769.179682519141
SMR_CCS,electricity,33.31500607567526,33.31500607567526,33.31500607567526,59.94540607567526,60.13636709277934,63.55319009488849,161.98002463992768,161.98002463992768,165.08246623992767,199.37650108924117,205.25566298339814,205.25566298339814,205.25566298339814,205.25566298339814,205.25566298339814,205.25566298339814,178.62526298339813,178.62526298339813,178.62526298339813,178.62526298339813,178.62526298339813,178.62526298339813,178.62526298339813,178.62526298339813,178.62526298339813,701.3343084565261,779.482638446146
