carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599904348,77619.23668509093,76202.18774520668,75868.33813010417,75534.48851503409,75200.63889990578,74761.36679632394,74154.4309709484,73547.49514561266,72940.55932027522,71919.04883788092,70842.91100081215,69466.47668384049,67986.46532745514,66506.45397109716,64802.47689226346,62797.80298055216,60804.65496490589,58706.838744578235,56595.11623758223,54473.40646852211,52255.02011108134,49878.97857644619,47458.74537872759,44994.51191298693,42530.18034730326,39936.15583633121
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,96440.80336073742,93979.01448,91505.5973455034,89035.3269793676,86563.9921752563,84088.71121813542,64362.608897867394,74967.56009861293,72496.32516394353,70025.09022927347,67558.24794250916,65082.620359934015,62611.31985202829,60140.875595842466,57670.420670947366,48708.013126288446,45717.85751499219,43252.056601332646,40894.21816989472,38718.572767677746,36754.90857921182,34792.24410802879,32844.107276856106,30899.93652704804,28967.694864826717,27051.915640849136,25122.629882746733
coal_for_cement,34892.73200570563,36213.046043701856,32906.52037659814,30810.821189929233,28345.771651482522,25876.706033818973,19622.372367397245,21261.828224076773,19021.619488838693,16771.912795203163,14896.91280193084,11500.197467361788,9305.926075300904,8120.822302112784,6739.348654503249,4562.789507387536,3680.79446206956,3095.8403573403984,2607.3790915721765,2161.545497582663,1795.6658972745395,1590.4587050544992,1385.251512836654,1180.0443206156506,974.837128397834,816.799062603745,671.1844919935534
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
