technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3997.967358178867,3927.1575227750727,3856.347687371278,3785.537851967483,3714.7280165636885,3643.918181159894,3573.1083457561,3502.298510352305,3431.488674948511,3503.7652345876254,3877.5036357861886,3801.6037895112313,6296.947639546247
BF_BOF,coal,98112.59170059403,93435.55180737027,88244.68781807192,83053.82382877357,77862.95983947522,72672.09585017688,67481.23186087853,62290.36787158018,57099.50388228183,51908.63989298348,46717.775903685135,41529.819271220746,36338.9552819224,14006.152244164894
BF_BOF,iron_ore,172325.96234591515,164111.161507817,154993.87475738273,145876.58800694847,136759.30125651418,127642.01450607991,118524.72775564562,109407.44100521135,100290.15425477707,91172.8675043428,82055.5807539085,72943.40051483644,63826.11376440216,24600.54945449475
BF_BOF,limestone,33962.050973282545,32343.07562562817,30546.238090871047,28749.40055611393,26952.56302135681,25155.725486599687,23358.887951842567,21562.050417085447,19765.212882328327,17968.375347571207,16171.537812814086,14375.706670807182,12578.86913605006,4848.283469134002
BF_BOF,scrap,15723.171746890068,14973.646122976004,14141.776893921782,13309.90766486756,12478.038435813338,11646.169206759114,10814.299977704892,9982.43074865067,9150.561519596447,8318.692290542225,7486.823061488002,6655.419755003324,5823.550525949102,2244.5756801546304
BF_BOF_CCS,electricity,23.792056175531346,23.792056175531346,4848.485920076051,11842.568652321346,13877.600535836662,17256.304422671,20739.795847995625,20889.374472089934,20863.209725522986,20237.68116520048,19016.689979876464,17013.54235818422,14886.998445706831,5737.907572509209
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33582081324951074,0.33582081324951074,16.46702858020019,18869.64559740697,23190.130244217875,25441.58017183761
DRI,iron_ore,31948.202550521957,31860.66266384443,42681.6016453485,42155.235708196946,37216.640923272695,32254.422133503005,34698.23417830334,57299.478580098046,99971.27081550467,107018.66003731641,105977.50175042055,104936.0365361001,103894.87824920421,104663.38128154677
DRI,natural_gas,59957.58560851381,59793.29842392723,80101.08801935267,79113.2505756573,69844.92885600493,60532.271675204276,65118.60386887067,107534.6378831977,187617.31646197455,200843.23870016917,198889.28410695365,196934.7534992564,194980.7989060408,196423.05802153298
EAF,direct_reduced_iron,50774.62566087944,57112.36914173042,64108.86146370272,71105.35378567498,78101.8461076472,85098.3384296195,92094.83075159175,99091.32307356401,106087.81539553628,113084.30771750852,120080.8000394808,127073.5649808967,134070.05730286895,163043.3945587629
EAF,electricity,42650.68555513873,47974.39007905355,53851.443629510286,59728.49717996698,65605.55073042364,71482.60428088038,77359.65783133707,83236.71138179376,89113.76493225046,94990.81848270715,100867.87203316388,106741.79458395322,112618.84813440993,136956.45142936084
