technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3997.967358178867,3927.1575227750727,3856.347687371278,3785.537851967483,3714.7280165636885,3643.918181159894,3573.1083457561,3502.298510352305,3672.525942091921,3907.254235652574,4081.3076248983275,4015.3937106194044,6650.227414514249
BF_BOF,coal,97929.75000846603,93435.55180737027,88244.68781807192,83053.82382877357,77862.95983947522,72672.09585017688,67481.23186087853,62290.36787158018,57099.50388228183,51908.63989298348,46717.775903685135,41529.819271220746,36338.9552819224,14600.408186320494
BF_BOF,iron_ore,172004.81732256213,164111.161507817,154993.87475738273,145876.58800694847,136759.30125651418,127642.01450607991,118524.72775564562,109407.44100521135,100290.15425477707,91172.8675043428,82055.5807539085,72943.40051483644,63826.11376440216,25644.30668622959
BF_BOF,limestone,33898.75961831516,32343.07562562817,30546.238090871047,28749.40055611393,26952.56302135681,25155.725486599687,23358.887951842567,21562.050417085447,19765.212882328327,17968.375347571207,16171.537812814086,14375.706670807182,12578.86913605006,5053.98744911094
BF_BOF,scrap,15693.870193664427,14973.646122976004,14141.776893921782,13309.90766486756,12478.038435813338,11646.169206759114,10814.299977704892,9982.43074865067,9150.561519596447,8318.692290542225,7486.823061488002,6655.419755003324,5823.550525949102,2339.809004218028
BF_BOF_CCS,electricity,71.37616852659403,71.37616852659403,9422.918547429472,13559.652861636698,16383.476263166498,19411.585576586356,21216.826769960047,21337.90839829723,21143.86043294664,20611.105193469015,19073.628453974827,17013.54235818422,14886.998445706831,5981.35670907873
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44105085754249873,315.7894394972106,21837.56740449955,23840.464164227404,23829.526209117063,26873.587880494193
DRI,iron_ore,34895.01148897247,48454.97249323944,47114.675203278945,42178.85971304239,37216.640923272695,47164.263330373666,63112.125053050826,100887.79194371184,108059.8183242123,107018.66003731641,105977.50175042055,104936.0365361001,103894.87824920421,104600.64613885335
DRI,natural_gas,65487.89827382505,90936.0442681343,88420.69181985228,79157.58603680559,69844.92885600493,88513.75446933141,118443.30318175294,189337.36296285648,202797.19329338474,200843.23870016917,198889.28410695365,196934.7534992564,194980.7989060408,196305.3222057933
EAF,direct_reduced_iron,51009.03808668456,57112.36914173042,64108.86146370272,71105.35378567498,78101.8461076472,85098.3384296195,92094.83075159175,99091.32307356401,106087.81539553628,113084.30771750852,120080.8000394808,127073.5649808967,134070.05730286895,162281.52796625573
EAF,electricity,42847.59199281503,47974.39007905355,53851.443629510286,59728.49717996698,65605.55073042364,71482.60428088038,77359.65783133707,83236.71138179376,89113.76493225046,94990.81848270715,100867.87203316388,106741.79458395322,112618.84813440993,136316.4834916548
SMR,natural_gas,466657.50301012717,471430.8239037771,477497.2774252424,480211.6143856706,461834.0853981862,444353.9075154086,441731.29827844456,438326.0304475376,433805.44280040986,432018.5463794783,420108.366848871,378008.15278592036,225713.9185977208,98214.03613652775
