technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,3935.405993221602,3802.0347928605424,3668.663592499483,3535.292392138424,3401.921191777364,3268.549991416305,3135.1787910552457,3001.8075906941867,2868.4363903331273,2735.065189972068,2601.6939896110084,2468.322789249949,2431.874107062051
BF_BOF,coal,98479.48927492913,93435.55180737027,88244.68781807192,83053.82382877357,77862.95983947522,72672.09585017688,67481.23186087853,62290.36787158018,57099.50388228183,51908.63989298348,46717.775903685135,41526.91191438679,36336.04792508844,31149.108336904876
BF_BOF,iron_ore,172970.38500852938,164111.161507817,154993.87475738273,145876.58800694847,136759.30125651418,127642.01450607991,118524.72775564562,109407.44100521135,100290.15425477707,91172.8675043428,82055.5807539085,72938.29400347424,63821.00725303995,54710.613360973955
BF_BOF,limestone,34089.053979783166,32343.07562562817,30546.238090871047,28749.40055611393,26952.56302135681,25155.725486599687,23358.887951842567,21562.050417085447,19765.212882328327,17968.375347571207,16171.537812814086,14374.700278056966,12577.862743299844,10782.383655082458
BF_BOF,scrap,15781.969435084797,14973.646122976004,14141.776893921782,13309.90766486756,12478.038435813338,11646.169206759114,10814.299977704892,9982.43074865067,9150.561519596447,8318.692290542225,7486.823061488002,6654.95383243378,5823.084603379557,4991.8442847603965
BF_BOF_CCS,electricity,0.0,0.0,0.0,1367.7765223545362,2651.447274733524,6072.193392748601,9853.34303414706,10458.764294465678,12280.6102919982,14606.386495352695,15908.292725215173,15923.861279669285,14837.05599922367,12760.871186281533
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.649966380414645,42.819084149654564,128.6308625335968,626.467790618348
DRI,iron_ore,0.0,1514.03712996159,3740.953712986452,21431.692835603204,19899.92361046352,19628.55789321331,24708.898707840806,22329.98455396362,17367.765764193926,12405.546974424233,11536.632987952375,34569.889354636,43879.33132249471,41417.440539252755
DRI,natural_gas,0.0,2841.412148010108,7020.693954508822,40221.12217092657,37346.43198128086,36837.156594112654,46371.49483526289,41906.95731360296,32594.300132802302,23281.642952001646,21650.941360951718,64877.73755596072,82348.88207098324,77728.62128599492
EAF,direct_reduced_iron,50304.244155321605,53881.599910961195,57647.32300216418,61413.04609336716,65178.769184570134,68944.49227577313,72710.21536697613,76475.9384581791,80241.66154938209,84007.38464058508,87773.10773178807,91538.83082299105,95304.55391419404,99065.24572191683
EAF,electricity,42255.56509047015,45260.5439252074,48423.75132181791,51586.95871842841,54750.16611503891,57913.37351164943,61076.580908259944,64239.78830487044,67402.99570148095,70566.20309809146,73729.41049470197,76892.61789131247,80055.82528792298,83214.80640641012
SMR,natural_gas,463637.6041334354,446225.9937797937,429560.9383582411,414241.71903288324,371124.45268711116,329164.57155818614,287191.490413565,244684.5866940227,205039.59568399782,194379.43176667372,183725.87793265257,172986.3218366424,135426.85622333013,107936.39119256743
