technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,14181.865435979991,13935.055274237948,13688.245112495897,13441.434950753845,13194.624789011792,12947.814627269741,12701.00446552769,12454.19430378564,12207.384142043587,11960.573980301537,12212.496460744598,13515.174750039,13250.623177104328,21948.231577365797
ASU,oxygen,14150.665332020835,13904.398152634625,13658.130973248406,13411.863793862187,13165.596614475966,12919.329435089749,12673.06225570353,12426.79507631731,12180.527896931093,11934.260717544874,12185.628968530962,13485.441365588913,13221.471806114698,21899.945467895595
BF_BOF,steel,125785.37397512054,119789.16898380803,113134.21515137426,106479.26131894048,99824.3074865067,93169.35365407291,86514.39982163913,79859.44598920536,73204.49215677158,66549.5383243378,59894.58449190402,53243.35804002659,46588.404207592816,17956.605441237043
BF_BOF_CCS,carbon,71.10596585633995,71.10596585633995,14490.394262032429,35393.21175230528,41475.19586322971,51572.936110792,61983.8489180981,62430.886049282526,62352.68895852655,60483.207307831675,56834.10035826798,50847.40692822539,44491.926018251135,17148.558196381375
BF_BOF_CCS,coal,12.77774206438429,12.77774206438429,2603.9238488872275,6360.1601518892585,7453.092696622379,9267.65661910932,11138.497650582229,11218.830223056071,11204.77820584722,10868.832353217353,10213.087834380756,9137.279025002103,7995.199105479729,3081.595907889733
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2303297758912968,0.2303297758912968,11.294258285459664,12942.143756794903,15905.439124977967,17449.643464909197
DRI,direct_reduced_iron,21882.330514056135,21822.37168756468,29233.97372969075,28873.44911520339,25490.84994744705,22092.069954454113,23765.913820755715,39246.218205546604,68473.47316130457,73300.4520803537,72587.32996604148,71873.99762746583,71160.87551315357,71687.24745311422
EAF,steel,50774.62566087944,57112.36914173042,64108.86146370272,71105.35378567498,78101.8461076472,85098.3384296195,92094.83075159175,99091.32307356401,106087.81539553628,113084.30771750852,120080.8000394808,127073.5649808967,134070.05730286895,163043.3945587629
SMR,carbon_methanol,78444.25111390924,78824.63137989341,79898.99169338148,79026.72199587493,74662.86311522468,70636.54352273673,70066.66999269881,69607.92863513417,68651.12438442127,68233.21953847034,67550.01187356206,64732.717034749745,40501.29938191086,18595.613042985737
SMR,electricity,14810.274610306065,14882.090404523877,15084.929631710424,14920.245112821187,14096.348556154422,13336.179417092695,13228.587294621535,13141.976926313335,12961.332283778738,12882.4318488632,12753.442241728519,12221.536985749186,7646.645323304771,3510.8517425157074
SMR,hydrogen,358602.2908064422,360341.17202236986,365252.5334554582,361265.0148382854,341315.9456695986,322909.91324679647,320304.77710948023,318207.67376061337,313833.7114716401,311923.2893187215,308800.05427914084,295920.99211983575,185148.79717444966,85008.5167679348
SMR_CCS,carbon,374.48999999999995,645.3370520860298,728.4583594069447,1487.1985887789133,2793.536203078683,4159.045053600299,4205.532215277192,4445.823606269617,4556.8476907173745,5424.454755818528,5807.104498873051,6113.16859571662,10013.06111986893,10115.87276872833
SMR_CCS,carbon_methanol,455.10937499999994,784.2637785767722,885.2792562237177,1807.3593960854848,3394.9224690192327,5054.39503041703,5110.889844954921,5402.910632619326,5537.83573524681,6592.21932130724,7057.245050713777,7429.197946183393,12168.65066650738,12293.595378662902
SMR_CCS,electricity,33.288,57.3632935187582,64.7518541695062,132.19543011368117,248.3143291625496,369.69289365336,373.8250858024171,395.1843205572993,405.0531280637667,482.17375607275807,516.1870665664934,543.3927640636996,890.0498773216826,899.1886905536294
SMR_CCS,hydrogen,2080.5,3585.2058449223878,4046.9908855941376,8262.214382105074,15519.645572659349,23105.805853334994,23364.067862651067,24699.020034831203,25315.820503985415,30135.85975454738,32261.69166040584,33962.04775398122,55628.117332605165,56199.29315960183
anaerobic_digestion,biomethane,2255.320932004416,3023.490663567929,4280.787279120393,9885.055948716057,23870.689931903587,86975.72702999582,115730.81388866421,156994.1732828021,226187.68747986693,277449.3357386236,304203.1019792547,351355.00013483793,370107.68300147913,371921.05709982937
biomass_to_coal_conversion,coal_for_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane_DRI,natural_gas,0.0,115.97151064054671,362.1914328774117,2242.54687814094,3669.2193770541417,16212.93595782515,19182.07998081083,39487.08878009027,82453.70850144318,93665.55913755273,107746.21128846622,128771.30589441374,169189.59662280604,188193.3083525017
