technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,14181.865435979991,13935.055274237948,13688.245112495897,13441.434950753845,13194.624789011792,12947.814627269741,12701.00446552769,12454.19430378564,12566.000251035955,13325.198050857942,14675.154583577552,16896.76070361815,21974.326589925746,30854.567752624727
ASU,oxygen,14150.665332020835,13904.398152634625,13658.130973248406,13411.863793862187,13165.596614475966,12919.329435089749,12673.06225570353,12426.79507631731,12538.355050483677,13295.882615146054,14642.869243493682,16859.58783007019,21925.98307142791,30786.687703568954
BF_BOF,steel,125556.82825026423,119789.16898380803,113134.21515137426,106479.26131894048,99824.3074865067,93169.35365407291,86514.59398924012,79866.15468435442,73217.71537946872,66569.276074583,59920.8367696973,53272.39746481159,46622.01981571493,30383.17445922161
BF_BOF_CCS,carbon,277.3915693327871,277.3915693327871,33549.95089636982,42121.88173569113,49683.446045766614,61689.379678906516,62406.9433738105,62825.59231995173,63591.026269178066,62459.79788785496,57224.39911506092,50875.13957889507,44524.028924007755,29015.931608556635
BF_BOF_CCS,coal,49.84726500910185,49.84726500910185,6028.926176077656,7569.302147903696,8928.115254424261,11085.5815282995,11214.527724273747,11289.758939895324,11427.307420571298,11224.025680447536,10283.224520976448,9142.262582327443,8000.967997644193,5214.162910057627
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.546815899833849,16988.395499611823,17040.924320791873,17865.76019333427,22744.80545745418,25247.61865157063
DRI,direct_reduced_iron,28648.810833023937,34514.71697185428,32270.325481697906,28873.44911520339,25476.572748708873,28470.147825694854,50462.90688249637,72774.10123889933,74012.82840490584,73299.33887123987,72585.84933757393,71872.35980390795,71158.97959285548,70986.3889604999
EAF,steel,51003.17138573575,57112.36914173042,64108.86146370272,71105.35378567498,78101.8461076472,85098.3384296195,92094.63658399077,99084.61437841495,106074.59217283914,113064.56996726332,120054.54776168751,127044.5255561117,134036.44169474684,150616.82554077834
SMR,carbon_methanol,78617.01380865005,79405.58924528334,80397.32600778661,80183.90863280355,76234.93945137797,73005.90100985774,72490.37143717166,71786.95481063679,70762.64492971943,63965.34889834204,52100.79271959749,36504.70016170699,21446.835516889816,1163.74562198842
SMR,electricity,14842.892207073131,14991.775249509494,15179.015150270114,15138.721949873312,14393.156568420161,13783.51411066114,13686.182127338012,13553.377068248226,13359.987362731032,12076.657872006977,9836.629665460006,6892.08739053028,4049.1625455887975,219.71517343141372
SMR,hydrogen,359392.0631252574,362996.9794070095,367530.63317845314,366555.01089281624,348502.5803491564,333741.26175934967,331384.5551413562,328168.93627719674,323486.3768215746,292413.02353527787,238175.05243244566,166878.6293106605,98042.67664863916,5319.979986232777
SMR_CCS,carbon,374.48999999999995,495.55169210078816,875.9929586987812,2312.261601373341,4300.519799132695,5727.892790448398,5782.975473239576,5926.308620426465,6032.292365962913,6636.661418067353,6774.425202392428,7062.862193168496,7538.183030699604,10901.471076172078
SMR_CCS,carbon_methanol,455.10937499999994,602.2329591502635,1064.5747761964356,2810.040140557879,5226.3261447793175,6960.980821725485,7027.921582061986,7202.111170657163,7330.910861413263,8065.387140012409,8232.808405685244,8583.339470864492,9160.986322030769,13248.315543959123
SMR_CCS,electricity,33.288,44.04903929784784,77.86604077322501,205.5343645665192,382.2684265895729,509.1460258176354,514.0422642879623,526.7829884823525,536.2037658633701,589.9254593837647,602.1711291015492,627.8099727260885,670.0607138399648,969.0196512152958
SMR_CCS,hydrogen,2080.5,2753.06495611549,4866.627548326563,12845.89778540745,23891.776661848307,31821.626613602213,32127.641517997647,32923.93678014703,33512.73536646063,36870.3412114853,37635.69556884682,39238.12329538053,41878.7946149978,60563.728200955986
anaerobic_digestion,biomethane,110.06937721412221,305.81905432080606,501.5687314274896,697.3184085341736,795.2740189639803,888.6126306108318,888.6126306108321,888.6126306108318,3987.9693531583507,28907.551446001347,117934.16411283854,177940.86774441364,238316.633014548,239241.962323971
biomass_to_coal_conversion,coal_for_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane_DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,18.87054972151141,28.687651331246254,38.50475294098059,3147.6785770982347,8360.792238429636,67455.10228813729,98631.66583113355,145897.9328209339,153419.7693716612
biomethane_SMR,natural_gas,0.0,172.60890206589977,370.7179253378259,576.2847040542447,684.057416093786,768.3425796288609,768.3425796288609,768.3425796288609,768.3425796288609,19782.83413076695,46451.90607528544,56304.14930318756,64023.62009821373,6909.058008120508
biomethane_SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0115408610517,3562.3152014997563,22529.12198071903,28035.671184347553,78612.94407789773
biomethane_haber_bosch,natural_gas,110.06937721412221,133.21015225490632,130.85080608966373,121.033704479929,111.21660287019431,101.39950126045957,91.58239965072485,81.76529804099013,71.9481964312554,169.91353594370827,464.84054791604035,475.9306293735085,359.4089110528067,300.1908662915386
carbon_conversion,carbon_methanol,651.8815693327871,772.9432614335753,296.06545315235684,595.81485001957,995.6198633285377,1637.5147766154703,1818.005601386557,2534.9116182951066,3562.038806124653,3580.3788766910875,5409.627780130428,8838.833463806504,24553.08681403774,44158.37359260986
carbon_evaporation,carbon,0.0,0.0,22.2335322508901,14.163044965430615,61.11574395882495,63.377952475437134,109.76114202659349,653.654396935375,1627.5172648629714,1963.360608372984,1747.5157409077299,1766.9210041875872,6673.187455466081,13928.831320113162
carbon_liquefication,carbon_liquid,0.0,0.0,32444.506337458777,41659.866955409816,50396.98863925312,62550.978862954136,63157.59066830561,63527.11153306753,65472.33323072773,67787.13799349924,67523.63142011587,66718.20081085332,66745.42199801191,71498.25266854255
cement_plant,cement,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258,171371.3429347258
cement_plant_oxy_combustion,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0572277129627,3608.049876379115,10196.27526666255,18705.496507342457,35417.72012410585,65022.73761627226
e_haber_bosch,ammonia,0.0,687.9935812788865,1606.2188416804174,2554.156275167573,3502.0937086547287,4450.0311421418855,5397.968575629043,6345.9060091162,7293.843442603357,8241.780876090514,9189.71830957767,10137.655743064828,11085.593176551985,12003.818436953517
electrolysis,hydrogen,1588.6782366818418,1637.4826743622575,1291.6926667590478,1179.4945416242265,1526.85973150708,2137.7028566726203,2050.740660172807,2002.787796755009,8193.088570809012,42213.16329855928,100098.13007546398,179607.61195931945,257362.68385323958,366732.5795918497
electrolysis,oxygen,9.911763518658011,10.216254405346124,8.058870547909699,7.358866445193549,9.52607786487267,13.337128122780477,12.794570978818145,12.4953930639545,51.116679593277425,263.36792581971133,624.5122335408198,1120.571891014194,1605.6857845603618,2288.04456407355
gasification,carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.3911844369295,267.3911844369295,544.5192131234992,658.0992442690232,658.3062250341444,550.7205699615698
gasification_CCS,carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.52710617452226,190.52710617452223,387.99211032822626,468.9225071135141,469.06998933621855,392.4108295735941
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.9810567978159,870.9810567978159,1773.6782186433202,2143.6457468046356,2144.3199512512847,1793.8780780507163
