carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,66217.25945987756,64165.8703123908,53907.09579385569,48234.60478575677,47957.552743902845,46970.84311569171,42174.114722616614,28951.114004858515,5649.754454267463,726.4930062619711,222.7049891506357,139.6307064599726,122.178090034414,47.09119776964473
coal_for_cement,34053.684752422916,35857.82720867283,35158.0593157645,33642.57590587846,32295.60858274208,30636.364999294226,24457.289906441252,15982.699514510316,8896.718032293991,7274.178016124233,6896.852790686981,6649.4401141394355,6418.316469142297,6187.192824145159
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,566.0853789514799,1726.7431215771917,3793.9078900881073,16236.829110559518,25851.216726439132,33451.29010964866,34360.014003068856,36669.6854632009,43698.0049245459,49698.92192282758,59904.02329135874,81834.69521889696,220651.8785007413,262033.6967860343
electricity,3994.37587464717,3174.781102731872,1701.1648216288008,1118.0748113774318,1643.3636448755756,2119.3258093385566,3060.1279260755177,3782.051733852177,4513.38289229959,4880.176442222603,5355.086556306384,5821.977324823401,6375.581049149043,9046.326051165279
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,143955.81854763586,140620.9251796599,137638.80688183854,134190.36098462026,131498.5906142058,128805.84939427725,126417.46560590633,124857.46944864476,124122.2903256412,121923.09464043511,119391.49289322738,116860.41900274447,114328.8172555367,108684.94263616622
limestone,28791.907000528154,27598.712854885183,25400.237846223103,24134.418036354633,23311.64717287843,22490.818008430633,21061.273980867485,17974.954691085622,13239.00133278771,11431.081098894856,10287.972989005371,9145.50512381929,8002.3970139298035,3084.370203430405
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,530446.2155760959,533478.246186002,559201.0973500176,552598.9644221936,512549.173580379,425766.5064537325,398236.6614619227,398086.32545217476,402471.1287890391,367605.08415117225,337288.876559555,272776.6933490652,133733.47313418784,83.61606496401997
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999996,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999997,105439.99999999996,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,980.5684348168801,1314.553270706064,1861.200693215964,4297.824625382767,10378.49856859304,37815.30659810158,50317.44326251343,68257.92665989671,98341.88276249655,120629.42219243875,132261.42467854035,152762.12695862484,160915.41841538312,161703.83720586382
