carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,78391.01827520735,79912.14957499862,81433.28087478991,82780.24819792628,84127.21552106267,85474.18284419904,86675.59604016533,87857.39808185198,89239.68888485085,90621.97968784973,92004.2704908486,93386.5612938475,94377.89441859114
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,60954.57476589519,54736.28020726596,48237.06129980298,46969.0285078018,46421.381231530744,39932.20580817344,22422.639702739492,4148.503996068526,1352.0859351837341,338.62909542524784,158.0902617152572,142.1953634988293,124.75474811407251,90.4088907466856
coal_for_cement,33310.185082402895,35084.9932802197,34603.3010549925,33632.58950587846,32250.92076109423,30618.248888822713,24807.502100478145,19367.925222320115,9016.900638527672,7169.796332048656,6893.101501228293,6649.4401141394355,6418.316469142297,6187.192824145159
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.926621528,733.926621528,957.5170737964795,2238.8392236470613,2787.694924392,2775.263911488
electricity,3862.012987625483,3155.48555992271,1848.0369319539718,1212.1700423155132,1708.3563850352507,2575.9678413718207,3025.025468202057,3915.969085917009,4678.3943769939415,5054.848516293911,5255.611899938981,5457.384108397055,6321.46774296723,6810.767069761262
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,144343.87075755908,141383.15198750034,137821.674077742,134191.04707540333,131498.42007306457,129243.04221025707,128019.97128039382,126870.39625135312,124456.84350810213,121926.16432222762,119446.39583071893,116998.9114607863,114467.95777435802,111024.11457463584
limestone,27911.814275872093,26076.41214476494,25036.656359976754,24135.198760349143,23314.141160721523,21618.585282031614,17858.41553745312,13953.0354885777,12576.793480809012,11434.804358287403,10354.565519277718,9313.48453668881,8171.162468658773,5921.584116597335
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,553354.3977744946,573672.7602114773,575689.5976663692,574926.1601696961,556312.2517247336,557488.1770284398,612020.9182652155,669597.6263696788,663604.2732081942,599511.679667371,438469.7548213496,280429.2056277467,126672.3866360283,83.61606496401997
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999997,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999997,105439.99999999996,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,0.0,0.0,85.10804461244379,150.50735696752022,150.50735696752022,150.50735696752022,150.50735696752022,152.17583022014048,1170.0641551114772,2415.6354233177954,35134.87245125562,51770.5366159025,70859.63451719274,72118.16943322883
