carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905285,78646.08367715118,80422.28037888628,82198.47708062141,83800.50980570161,85402.54253078184,87004.57525586203,88606.60798094224,90090.74950819007,91752.20923948122,93413.66897077234,95075.12870206349,96736.58843335463,98398.04816464576
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,53436.440705256806,54885.60206080903,49691.451417010074,53969.561512203996,48053.519745144455,39307.55019544528,21899.57277574933,1999.9856511888422,1204.537173222592,407.84672251399917,189.57033665324488,139.62093140446356,122.16831497890496,0.0
coal_for_cement,31297.690940368968,35459.98577621375,35651.46567151617,34820.39089303825,33542.58177235731,32648.109914722212,30721.318909418686,17434.065985706773,8290.199088589394,8020.726562923916,7813.11017153169,7605.493780139474,7420.810800624604,7250.205642187754
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,650.4364558614956,3652.930469322025,12656.14007050735,24507.497984403057,43895.61758942698,64482.41406825169,73530.42210734477,112924.56075179449,131837.7459788712,164724.94087830218,230873.7448975662,274776.354683612,286326.9845871465,157521.48067942922
electricity,3815.6261577026607,3274.222887143047,2019.2258878086366,1321.8189913394888,2840.735374159327,3455.4536995170483,3959.450672570547,4809.996585599753,5525.408673979087,6290.727806041908,6830.075951948861,7385.890020080566,8850.19533602919,1057304.730006194
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,144942.10721387257,143325.46116764375,141569.76541075527,139570.4125861228,139082.9928091743,139009.40132669316,139734.36054655432,140665.37523677718,140087.9273612734,137933.67941933946,135779.43147740548,133625.18353547153,131470.9355935375,123662.00000000006
limestone,26679.327122609775,26097.94862232524,25354.9362752048,25099.23944099916,23776.073756571892,21625.25286063675,17877.330560017002,13717.297318673829,12574.189208784343,11431.081098894856,10287.972989005371,9144.864879115885,8001.756769226399,0.0
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,580084.8015474811,593571.6648153783,607915.6837236353,534790.606925852,536988.7932927645,516466.2486851159,580960.2797701063,540204.7539443691,524081.23640345613,468218.9732858108,360124.75066092785,192258.59367432896,35259.28620079924,105.46121896738691
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999997,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999997,105439.99999999996,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,1366.6896027518424,2028.6138695096743,2734.6994400459944,36021.886725741846,42122.42785585105,64247.15432066055,70852.30615740283,122666.65130740397,134336.83274861725,154867.79792774958,159905.20535769817,160948.10208104015,161476.749800742,21028.81079441832
