carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,76804.00599905284,76202.18774521574,75534.4885150154,74761.36679630257,73547.49514561715,71919.04883788523,69466.4766838596,66506.45397107165,62797.80298055849,58706.83874458956,54473.40646852163,49879.52771082507,44994.51191299501,40065.84878160305
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,82485.2873318299,77169.04519017453,71466.52191404543,57191.593844519426,53200.55074039927,47422.93704852667,38739.25654754044,35541.84838305596,33000.494337905584,30188.499952091115,25851.695593767156,10090.932014195123,1878.114345255713,163.61061933391736
coal_for_cement,35997.46192640859,33275.87072837145,28345.771651490573,23513.97186899174,18999.0267290854,14620.714537190408,10408.461306334062,7110.207678873471,3991.3068003771773,2844.590681279878,1880.3088392376849,1385.2515128338136,991.6742083914463,671.1844919922215
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,225.42875091000602,639.9009118335181,1823.506737214466,2232.717862371427,2232.717862371427,2232.717862371427,2232.717862371427,2232.717862371427,2232.717862371427,2232.717862371427,2038.8968582861098,20610.73630081664,31760.634240705916
electricity,5136.398614814508,4266.2378670706685,2041.3908411930558,975.5290276065894,854.4318460598303,1003.908029837882,1142.1715476636466,1307.5165282355622,1543.4346154486714,2950.8906490241475,3192.6175390296844,3363.508904880611,3392.515096263037,3401.9569436536317
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,142711.08403509838,134850.72665930016,126992.35243572448,119769.47776857039,112694.63700493315,105671.59364572975,98868.48343167202,91758.82849288116,84543.01034987558,77327.19220687001,70279.5920694794,64214.272905506135,57584.96136897843,50472.625967825654
limestone,31495.399610631936,29705.26374175859,27825.454430758648,24674.646006915536,23184.169776038703,21590.098736294247,19556.161406258478,18135.313525688838,16926.79205354872,15718.270581408604,14173.31309803853,10663.793667833757,8282.258982737882,6869.061260876653
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,469957.9166368314,455137.67492982594,444177.06096676685,461234.5185974903,414795.89367307513,369808.11195258505,335386.38998919324,270804.51568312524,205787.97291397842,166604.27938783437,118089.30797917653,106128.16004162154,58943.330120817125,8828.899506412501
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,87699.99999999997,89799.99999999997,91899.99999999997,93999.99999999997,95429.99999999997,96859.99999999997,98289.99999999996,99719.99999999997,101149.99999999997,102579.99999999997,104009.99999999997,105439.99999999996,106869.99999999997,108299.99999999997
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,307.70793922934683,307.70793922934695,450.5614191344529,674.8729460845038,732.9002032334043,1691.7728445816595,2417.757255234696,9938.246118157635,15844.35563848236,24060.68352771719,39651.10259151535,58835.751114064886,75967.6233358742,87093.04047642728
