technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4068.7771935814203,4068.7771935814203,3997.967358180299,3962.5624404759114,3927.157522775868,3891.752605072929,3856.347687372058,3820.9427696664293,3785.5378519692813,3750.132934266135,3714.728016565471,3742.836328753829,3707.4314110529576,3672.026493351301,3636.621575649706,3803.383218148755,3767.429663861576,3732.0226543672125,3696.61564487471,3661.208635379105,3625.8165315845217,3590.4244277864223,3555.03446914596,3526.345946319111,3491.070929319048,3484.8958792588596,3475.6796124259727
BF_BOF,coal,96440.80336073742,93979.01448,91508.07321310615,89037.54399324956,86567.01477339365,84096.48555353704,81625.95633368044,79155.42711382384,76683.43196590616,74210.30000590616,71822.25074400728,70158.3505470583,68549.33160840915,67101.57694424067,65751.62866225441,63880.70237070186,63719.19897859063,63719.73144724597,63765.56196637347,63716.72868811939,61868.16007765929,60667.03170772313,60168.89108685846,59736.5120674569,59002.073359183625,56528.941399183626,54134.03186650198
BF_BOF,iron_ore,169389.61615924395,165065.70492,160725.71833584033,156386.45547532296,152047.1926148068,147707.92975428942,143368.66689377205,139029.40403325472,134687.5664016557,130343.7320616557,126149.33784524356,123226.84647367932,120400.74910707762,117857.8979661663,115486.83495806225,112200.72083059173,111917.05461624252,111917.98984964998,111998.48704350211,111912.71577272251,108665.87090563234,106556.19671741115,105681.25742178985,104921.82247745634,103631.84679754048,99288.01245754048,95081.56879116375
BF_BOF,limestone,33383.35500948603,32531.19732,31675.87149684444,30820.68830535562,29965.50511386703,29110.321922378207,28255.138730889386,27399.955539400562,26544.26491127521,25688.180771275212,24861.548334464056,24285.58288167403,23728.614787526247,23227.468942237156,22760.179152318837,22112.550820627566,22056.645800281374,22056.830116354377,22072.694526821586,22055.790699733632,21415.9015653436,21000.1263603657,20827.693068527926,20678.02340796585,20423.794624332793,19567.710484332794,18738.70333840453
BF_BOF,scrap,15455.256948836124,15060.7395,14664.755322613166,14268.837178405378,13872.9190341977,13477.000889989911,13081.082745782121,12685.164601574334,12289.011532997782,11892.676282997783,11509.976080770397,11243.32540818242,10985.469809039927,10753.457843628312,10537.119977925386,10237.292046586836,10211.410092722857,10211.495424238135,10218.840058713697,10211.014212839644,9914.769243214629,9722.280722391528,9642.450494688854,9573.158985169373,9455.460474228144,9059.125224228144,8675.325619631729
BF_BOF_CCS,electricity,0.0,0.0,0.0,11412.84946030587,11954.53785717005,12516.777404334363,14570.845555041644,14570.845555041644,14570.845555041644,14563.740625601158,14535.195160324305,14532.199356184427,14516.19313653029,14508.168742072972,14507.862746565168,24065.691171690185,24201.38543376143,24237.11413247633,24251.675533703485,24241.15661231679,23630.862435084004,23128.654524747013,22941.77005649251,22790.998491523624,22488.35147997337,21538.472078582174,20588.592677190973
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.318566017168678,27.318566017168678,4619.296257551355,23329.915451065408,23330.00352308152,23330.00352308152,23330.367109057825,23243.402087674305,23243.4020876743,23243.820770249255,23243.765673650607,23335.505804180222,23193.34662407523,23200.376745941732
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8212314387570674,8.973254578503884,40.580299044640284,1306.9400401906696,3217.763604360732,5082.296965349926,6779.526554656838,8396.836180579312,10385.162303416677,9876.691920026497,9097.662635585271,8211.269406117139,7390.0766379275165,9585.563456815857,10756.538001510125,10776.144790394666,10688.045879498139,11098.929344442122,14353.217461031405,17480.172167348683
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4179274946536746,16.840217496644275,76.15754752213314,2452.750486385229,6038.816627361923,9538.009373327945,12723.221068328588,15758.44598273104,19489.962131069657,18535.709493748356,17073.69563116688,15410.190529288328,13869.047936932464,17989.345117585923,20186.927482286126,20223.72378471328,20058.38747248281,20829.49753682974,26936.86016659319,32805.2546154352
EAF,direct_reduced_iron,52917.94404530749,56074.0836359965,59583.49554462464,62921.609943069445,66259.72434154668,69597.83873992928,72935.95313840739,76274.06753685746,79614.06133019018,82955.51257493325,86187.8834374893,88491.85806299227,90725.47210093922,92752.33706894195,94653.80923937414,97223.20193487819,97601.0268105296,97771.11340321352,97883.12557216264,98116.50158389901,100657.23058568164,102367.90799710064,103177.31906341342,103902.42038437279,105014.77771669389,108356.22896131259,111597.39504290497
EAF,electricity,44451.0729980583,47102.23025423706,50050.13625748469,52854.15235217834,55658.1684468992,58462.1845415406,61266.200636262205,64070.21673096026,66875.81151735975,69682.63056294393,72397.822087491,74333.1607729135,76209.39656478894,77911.96313791124,79509.19976107427,81667.48962529768,81984.86252084485,82127.73525869935,82221.82548061661,82417.86133047516,84552.07369197258,85989.04271756453,86668.94801326728,87278.03312287314,88212.41328202287,91019.23232750257,93741.81183604017
SMR,natural_gas,466323.6861593706,462830.2549956737,467710.0344213248,460333.9391263626,453283.1326979994,442400.55226773163,427207.8754455905,407784.6303059379,387615.73602449265,364679.9997735252,338497.25000661047,337768.29668040405,335609.63897120504,332582.9717071676,328776.74087098317,316100.2042883189,306052.35814989946,308038.08617602976,309904.40170737065,310066.0099672499,270017.33525830955,263979.8243935929,257343.314489082,256709.2494859268,256757.87903185122,204080.39173695815,181914.90956492684
SMR_CCS,natural_gas,4118.337081976012,4249.954092710491,5772.90404159737,14941.487409867612,23205.308759994117,36333.73911864944,52145.88355683586,64437.75014604238,76475.55731135498,87400.32570348064,93370.01275008076,93543.90188169599,93642.1807046246,93893.3903521158,93902.63146701443,94043.14850665155,91900.07445644878,91900.07445644878,91909.31557134741,91907.19831009815,91881.97501112007,91742.03268552136,91740.67964480727,91666.10709491809,91623.13310843454,138853.6212354406,156976.24810189236
anaerobic_digestion,wet_biomass,1217.0341231710622,1532.5717359945234,1755.7311240961435,2606.7955498835145,4078.902094246026,11234.165396688182,34715.17485217278,41897.886803958005,50626.92254394317,56680.71733879488,64063.08933402202,64823.87233283233,65636.63615285956,65827.59722596439,66027.55308631631,66061.58709488928,66029.67579031878,65976.47785012267,65890.31766728182,65793.50755320658,158712.83355574976,159224.59732119634,159689.10731425835,160083.20758743337,160330.2649743451,160581.42335361303,161156.31252585244
biomass_to_coal_conversion,biomass_cement,76804.00599904348,77619.23668509093,78391.01827520528,79151.58392510412,79912.14957499893,80672.71522489373,81433.28087479564,82106.7645363591,82780.24819792381,83453.73185949892,84127.21552106501,84800.69918263059,85474.18284418406,86084.69501932994,86675.59604016715,87266.49706100601,87857.39808185109,88548.5434833502,89239.68888483188,89930.83428636251,90621.97968784507,91313.1250893363,92004.27049085118,92695.41589233986,93386.56129384694,93884.07929070407,94377.89441858434
biomethane_DRI,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.714402814746066,71.63630119230797,1934.0102350829784,4254.772358673711,6182.151801683303,8105.957048360655,10379.247812347347,12587.983126691792,13700.748814221026,12416.51909523028,11347.553774377917,10314.860482802658,17808.349332118763,19922.43731786664,19847.96301654362,19500.581557273756,20061.953408018184,26134.889500281093,31627.784725907866
biomethane_SMR,biomethane,2665.928434865114,3232.398271958203,3597.0681659958586,5476.64374641583,8802.288836979893,24944.237243000964,78577.77171882025,94731.07745712603,109345.83233999422,119799.2943331176,132996.86770462344,132460.81490772206,132516.1764552411,131019.75308369388,129359.27484724051,126992.59004035576,123621.41210901059,125452.72423903266,127046.33028775029,128185.82109228776,267597.0908946336,262244.87829986983,256238.60338808154,256134.55320202457,256333.11486347308,203756.08250892677,181633.98011032242
biomethane_SMR_CCS,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,126.11628778757188,136.25471598444386,5804.136463383357,8962.294028610777,10652.981365281514,10643.149298724229,10690.19784006624,10734.614691555835,10678.206978639382,10978.77087816963,13292.458116294763,12757.122081076428,12143.766016459538,11906.212073136692,78297.75006411667,82861.66252244206,90159.51525627231,91666.10709491809,91623.13310843454,138853.6212354406,156953.805564487
biomethane_haber_bosch,biomethane,133.2668436,292.53787044605446,441.137648660159,519.021992310686,579.2422689726021,894.498201794526,1141.4932256769675,1498.3856703,1283.9373005999998,1533.2074148999998,1762.1302392,1737.0643751999999,1576.6428455999999,1544.0572224,1447.5536459999998,1383.2179284,1254.5464932,1120.4441207999998,1010.9898479999999,919.0816799999999,1338.5171375999998,1189.7930112,1041.0688848,892.3447583999999,743.6206319999999,594.8965056,446.17237919999997
carbon_conversion,carbon,570.8020903639656,589.0442262939004,800.1253002906957,0.05909690450160886,0.0,0.0,0.0,0.0,0.0,0.0,18.194861363618195,18.472830482546,3.4245264060819363,0.8339073567956874,0.9962212312813499,26.615706672748153,110.87308857033241,221.52069820574425,308.67503502625436,443.64160851307184,696.435375452625,1053.7136691874398,1543.5346944398323,2137.050453310649,2844.5083958498362,6662.8848673489765,6614.448225650137
carbon_evaporation,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7725651304885303,40.01983417523794,64.95621430612783,134.08361415853173,71.76707858302433,138.17579514947948,384.3269336458926,651.9365030350247,999.9418961799886,218.33109517562545,86.0813642466947
