technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4068.7771935814203,4068.7771935814203,3997.967358180299,3962.5624404759114,3927.157522775868,3891.752605072929,3920.3358719073253,4016.726792064433,4020.7457043909944,4024.0597360290326,3987.47035083707,3951.99197916541,3916.499636740802,3881.0072943154078,3845.125033468218,3808.604870059723,3798.494587755882,3769.994102652572,3741.652396631835,3710.4676185141957,3658.2000107864733,3637.754027633226,3605.0157794509646,3570.896430077854,3535.440183483214,4247.766579247542,4416.446939108233
BF_BOF,coal,96422.42571130625,93979.01448,91508.07321310615,89037.54399324956,86565.69472790611,84092.56276790613,81619.43080790613,79146.29884790612,76697.55088843123,74305.22301594491,72364.87719680087,71056.84455827401,69961.23052669202,68927.28741399152,67810.52458911858,65558.89762937193,65096.91621069377,64326.733204170254,64091.90208661047,64192.08312943201,64073.097332012745,64142.56914068176,64575.245719820035,65052.31415910968,65933.81905769747,63533.55462166431,61980.20926002857
BF_BOF,iron_ore,169357.3374672943,165065.70492,160725.71833584033,156386.45547532296,152044.8740733736,147701.0397333736,143357.2053933736,139013.3710533736,134712.3650219882,130510.4558100571,127102.41251232974,124804.97057030178,122880.62284816419,121064.5945604723,119103.10088088777,115148.32019517892,114336.89129314163,112984.13396117082,112571.67417776454,112747.63318887417,112538.64531391983,112660.66631119745,113420.62389250442,114258.5517922824,115806.83603723787,111590.98696369246,108862.67523876813
BF_BOF,limestone,33376.99351545216,32531.19732,31675.87149684444,30820.68830535562,29965.048175044427,29108.964035044428,28252.87989504443,27396.795755044426,26549.152230610813,25721.038736288625,25049.38056812338,24596.600039402543,24217.349028470315,23859.44564330476,23472.873896233355,22693.464564013364,22533.547919086308,22266.946109135857,22185.65841459593,22220.336467880312,22179.14907646595,22203.197010235996,22352.969672245395,22518.10874738412,22823.24505843374,21992.384292114573,21454.68782077912
BF_BOF,scrap,15452.311812709333,15060.7395,14664.755322613166,14268.837178405378,13872.707488446495,13476.372238446493,13080.036988446494,12683.701738446494,12291.274180838338,11907.888303837326,11596.935448205268,11387.314833056731,11211.735661328848,11046.039649678129,10867.071248256183,10506.23359445063,10432.198110688103,10308.771346822155,10271.138154905522,10287.192809203847,10268.124572437939,10279.257875109255,10348.597070483978,10425.050346011167,10566.317156682286,10181.659394497487,9932.725842953296
BF_BOF_CCS,electricity,0.0,0.0,0.0,18496.505312446963,20625.19160197053,22014.308593599624,22825.8455341598,22813.191390644097,22712.870966911854,22466.06489297706,22371.490463150178,22371.490463150178,22467.672004976706,22510.31965791177,22535.641624173444,23362.956821192452,25042.13128959693,25185.285553726462,25384.166961995557,25780.97070090967,24741.59981482858,25470.66709251966,26439.258644045978,26634.810833612682,26995.628184886573,26027.823903167282,25391.464112278598
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030222828823785078,0.036731065763201134,41.94209467628588,41.94209467628588,4547.776315959391,4547.776315959391,23251.51363861426,23251.51363861426,23251.51363861426,23251.568735212903,23251.568735212903,23251.65619958892,23281.12184747333,23280.94626470574,23356.128497628433,23470.80732295811,23613.41699543855,23760.09997045489,24149.914537734105,24243.725811499968
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8212314387570674,8.973254578503884,39.777255267474644,874.667675418796,2397.752741797599,3697.1623550531417,4947.934151442327,6000.358431870417,7679.227014760021,7577.912534065908,8067.989812948341,7696.873863854002,6767.963527880157,6032.6085076541995,5060.86902967259,3557.645550237381,1981.7161716950247,1179.711166522969,2880.0178907446802,4694.586491721104
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4179274946536746,16.840217496644275,74.65046536498667,1641.499610032535,4499.892131866728,6938.510173181924,9285.84902393971,11260.946646112976,14411.700014001686,14221.561879000406,15141.295950327709,14444.81807326025,12701.520593418925,11321.470760940074,9497.795302262259,6676.677265513989,3719.1111715372385,2213.9784905979013,5404.965082630428,8810.388347476593
EAF,direct_reduced_iron,52941.50513432183,56074.0836359965,59583.49554462464,62921.609943069445,66261.41670755632,69602.86795227662,72944.31919709241,76285.77044188017,79595.96014746572,82833.81640821691,85492.20849801032,87339.94266399776,88915.34528262787,90411.68262054342,92014.19907672776,95071.66955196783,95834.72266680762,96992.90602254137,97464.74080262802,97507.07281298538,97830.38795189514,97912.09077535881,97528.14645705241,97087.28949763846,96127.92425706076,99375.95559915785,101538.19325633242
EAF,electricity,44470.86431283034,47102.23025423706,50050.13625748469,52854.15235217834,55659.590034347304,58466.40907991236,61273.22812555762,64080.04717117934,66860.6065238712,69580.4057829022,71813.45513832867,73365.55183775812,74688.8900374074,75945.81340125647,77291.92722445133,79860.20242365297,80501.1670401184,81474.04105893474,81870.38227420753,81905.94116290772,82177.52587959192,82246.15625130139,81923.64302392403,81553.3231780163,80747.45637593104,83475.80270329259,85292.08233531924
SMR,natural_gas,492567.40455581254,485731.1066787841,478136.2824903237,458971.59909920156,446001.46498501766,428904.3813610313,409728.20091798273,384369.50047641515,358463.9954628546,327023.35891289584,292582.1097646941,271425.30798529455,254775.88998146303,249639.9571884095,241871.7686702709,224686.28253366746,145129.06575849315,148958.94493206762,151294.20310268374,148448.94552844195,121076.9090391686,98292.97863087199,76254.9565531691,70133.446891436,65495.70234918852,21314.558474901285,18837.19375321425
SMR_CCS,natural_gas,4422.093364343492,5188.444118100169,16353.593543605608,32235.627413432652,48030.36024578971,68462.6322721747,88974.97926931009,104152.21477377567,115397.9040175868,124522.27366197214,126570.31069608413,126602.58501391397,126611.8261288126,126630.30835860982,126630.30835860982,126645.54774244378,122470.72894211064,122604.68234979507,122654.25769136904,122679.40699540179,120922.75539968618,117075.79693130805,115204.01911249076,114351.87640323534,114549.79966508714,86925.84420380605,87057.16220848914
anaerobic_digestion,wet_biomass,15618.691050727904,15691.745290377547,15849.03716013722,15985.757558258401,19140.771968029283,23038.099566148136,31325.537731969816,34706.432041307955,37883.405219716115,40538.149640750045,42693.01780563309,43528.71852362718,44272.29309187182,44478.71420469448,44653.62110197108,44800.75180195047,44832.0098209473,44765.61877389855,44679.1652835241,44580.264672187695,48168.353735090284,48274.01323609829,48325.37614890418,48414.31711098063,48502.35801149377,48576.160468249276,48664.864855552536
biomass_to_coal_conversion,biomass_cement,35322.47053618553,35909.022462476954,36495.57438876855,37082.12631506312,37626.29349289436,38124.90615402739,38623.518815165495,39166.23414724015,39708.949479308074,40251.6648113985,40794.380143471935,41337.095475543356,41879.81080762152,42422.526139707305,42965.24147178408,43507.95680386495,44050.67213592759,44676.64154434718,45302.610952771574,45928.58036122384,46554.54976965481,47180.5191780913,47797.409597061785,48393.53304436543,48989.656491633614,49585.779938953114,50181.90338625012
biomethane_DRI,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4179274946536746,16.840217496644275,64.18781709997613,1370.5712022071632,3804.173217389162,5388.407828280246,6772.685062621085,8009.457550333251,10577.733584096106,13887.257318111246,14728.90575617262,13189.395733362746,12207.268029835448,10749.314076455774,8916.656583329817,5879.762734797946,2367.1158035237263,512.3873451369564,3320.2939033783655,5870.261860636347
biomethane_SMR,biomethane,34694.55663711421,34889.791014009934,35285.47987563111,35587.05829456428,42873.70089933746,50531.26145275359,68533.97926538039,75422.30160649146,80956.3019026379,83659.29487037062,81606.62693950956,81104.23522596442,81241.11699766642,80470.4991408459,79464.84186958731,76028.38787212915,62250.175059287736,61664.050558756804,62971.47002197735,63845.488099106784,66452.53955158101,64985.09591091845,56945.14445085202,55459.49070211684,52100.3364480365,20954.588327448455,18556.264298609825
biomethane_SMR_CCS,biomethane,0.026214990543349755,0.026214990543349755,0.026214990543349755,46.08879994350921,56.54602390345208,1390.913294023823,1671.3010855001996,2549.6068011936122,4192.292335876852,7449.725938611678,13251.456045955638,13277.670020244297,13369.555448404482,13390.253479804738,13663.028838281474,14974.050542345227,25282.35648982745,25004.474720682945,25168.063552145693,25179.04290043321,32341.504542340765,35939.351122957574,47335.694280621865,52679.76476799974,58237.347133818796,86856.0606955831,87057.16220848914
biomethane_haber_bosch,biomethane,1228.62210379916,1201.413486252169,1167.4980957190717,1134.3158942644648,1093.7927474644648,1065.7721830448772,1843.8887276644646,1849.9463114644648,1966.9203434644646,2065.0949774644646,1965.8759324644648,1930.5748406644645,1827.8047982644648,1668.2187974644646,1566.6164999999999,1462.1753999999999,1694.4524064,1564.1099136,1433.7674208,1303.424928,1244.5201476,1189.7930112,988.4305704,847.2262032,706.0218359999999,594.8965056,446.17237919999997
carbon_conversion,carbon,612.9027532007611,719.1190738877573,2266.610331754069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.192405118673491,290.6447118327422,436.24331489079265,839.4677534157274,2826.3455671761044,7554.158974730324,8063.528997405358,8729.236875377754,9990.498233589136,13094.108775642397,14947.462042664014,18004.35533603266,19435.955959231098,21755.186121084076,35570.21804439486,37637.82917957956
carbon_evaporation,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.190586585594187,40.358166743305404,155.83443780902184,569.8074899605294,3028.0146909611303,3204.066571297578,3500.369088806462,3930.574040487767,6003.898343093947,7308.5757977396215,7987.129595228404,7768.00397492627,8291.858776569727,10831.725779285165,11992.312760723813
carbon_liquefaction,carbon,0.0,0.0,0.0,59761.754286767144,68337.84578644077,75420.32875718916,81366.29360508976,84753.66853143711,86468.90685364818,87411.06710661351,87419.1722949669,87420.45311477268,87427.98865666898,87446.64243872673,87234.57259243212,88226.74948226992,90684.95668327053,90861.00856360697,91157.25109183189,91553.71298920552,93640.69113822033,94893.80327536073,95493.7021857921,95176.76471879557,95600.01391343195,97872.51838714929,98968.76293116278
carbon_liquefaction,electricity,0.0,0.0,0.0,4539.502855622833,5190.942765938042,5728.9281723960885,6180.583662242618,6437.888661647964,6568.178164603116,6639.744657418363,6640.360327525686,6640.457618598132,6641.030018360577,6642.446959645683,6626.338134121144,6701.703890673223,6888.429309661229,6901.802210491585,6924.304792935551,6954.420038660051,7112.946898859216,7208.133296796401,7253.701618032769,7229.6270480397125,7261.77705686429,7434.39649668786,7517.667232251126
carbon_storage,carbon_liquid,0.0,0.0,0.0,59761.754286767144,68337.84578644078,75420.32875718916,81366.29360508976,84753.67060433347,86468.93204642305,87439.83397539011,87447.9391637435,90539.64126014948,90540.9862154602,103353.82449051173,103026.27837315139,103604.48221083768,103604.51999999999,103604.51999999999,103604.51999999999,103590.98658072963,103604.51999999999,103604.51999999999,103604.51999999999,103604.51999999999,103604.51999999999,103604.51999999999,103604.51999999999
carbon_storage,electricity,0.0,0.0,0.0,2253.615754153989,2577.0201646066816,2844.1005974336035,3068.322931847935,3196.0609184894156,3260.7434274706134,3297.3561392119614,3297.661785864768,3414.249871920237,3414.3005901850047,3897.4727215371977,3885.120957451539,3906.9250241706895,3906.9264492,3906.9264492,3906.9264492,3906.416103959315,3906.9264492,3906.9264492,3906.9264492,3906.9264492,3906.9264492,3906.9264492,3906.9264492
cement_plant,coal_for_cement,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965,115075.85678068965
cement_plant,electricity,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475,16623.020264671475
cement_plant_oxy_combustion,electricity,0.0,0.0,0.0,0.0,0.0,0.0,106.65423472052439,326.12342129378015,391.7892894704017,456.28403101595495,456.9518378521225,456.9518378521225,456.9518378521225,456.9518378521225,456.9518378521225,471.02456986083985,523.2330009437804,534.6844073744629,546.4032310674679,553.3428668468396,525.7300476118336,550.7398732056777,555.4056964145904,557.6205309892673,557.6205309892673,4205.12020152602,4551.203642288833
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,222.684665899996,680.9170334705299,818.0215933997397,952.6809438794664,954.0752658450909,954.0752658450909,954.0752658450909,954.0752658450909,954.0752658450909,983.4578931160394,1092.4645074650361,1116.3740373752523,1140.841911019988,1155.3312604494454,1097.6781213873448,1149.8964385613053,1159.6382672392547,1164.2626471204485,1164.2626471204485,8779.921299889493,9502.513099284379
