technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,14181.865435975675,14181.865435975675,13935.055274242939,13811.650193363233,13688.24511249867,13564.840031624011,13441.434950756562,13318.029869872533,13194.62478901806,13071.219708142682,12947.814627275953,13045.787134032167,12922.38205316472,12798.976972294531,12675.571891424559,13256.825437953137,13131.508065045578,13008.095693158635,12884.683321278182,12761.270949386913,12637.910531838697,12514.550114278225,12391.19717373984,12291.202322478603,12168.250015054193,12146.726661759707,12114.603040871289
ASU,oxygen,14150.665332016528,14150.665332016528,13904.398152639606,13781.264562937835,13658.130973251173,13534.997383554439,13411.863793864899,13288.730204158814,13165.596614482221,13042.463024784767,12919.329435095948,13017.086402337298,12893.952812647756,12770.819222955482,12647.685633263425,13227.660421989642,13102.618747302477,12979.477882633686,12856.33701797137,12733.196153298262,12610.107128668653,12487.018104026813,12363.936539957613,12264.161677369151,12141.479865021074,12120.003863103835,12087.950914181372
BF_BOF,steel,123642.055590689,120485.916,117318.04258090533,114150.69742724302,110983.3522735816,107816.00711991929,104648.66196625697,101481.31681259467,98312.09226398225,95141.41026398227,92079.80864616318,89946.60326545936,87883.75847231942,86027.6627490265,84296.95982340309,81898.33637269468,81691.28074178286,81691.96339390508,81750.72046970957,81688.11370271715,79318.15394571703,77778.24577913222,77139.60395751083,76585.27188135499,75643.68379382516,72473.00179382515,69402.60495705383
BF_BOF_CCS,carbon,0.0,0.0,0.0,34108.934430083296,35727.84775005992,37408.18112472912,43547.05784531274,43547.05784531274,43547.05784531274,43525.823746566515,43440.51153713181,43431.55814759243,43383.72126876954,43359.73921719358,43358.82470581341,71923.7632148541,72329.30494250277,72436.0852733901,72479.60410550951,72448.16680309859,70624.2152871608,69123.29505303949,68564.76406602662,68114.16166026187,67209.6577405062,64370.807168506195,61531.95659650619
BF_BOF_CCS,coal,0.0,0.0,0.0,6129.375517085968,6420.294240685767,6722.250148113823,7825.406294802699,7825.406294802699,7825.406294802699,7821.590527258003,7806.259923222587,7804.650999122359,7796.054711997886,7791.745137329686,7791.580799634669,12924.700249709282,12997.576098167749,13016.7645236282,13024.58485776006,13018.935574516818,12691.171487102794,12421.456121031197,12321.088102664984,12240.114850349059,12077.575495968962,11567.434048180563,11057.292600392164
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.737013729196626,18.737013729196626,3168.241603258817,16001.31375244541,16001.374158492124,16001.374158492124,16001.623531589727,15941.976740517353,15941.976740517355,15942.263902777264,15942.226113614957,16005.14801384103,15907.645146828007,15912.466903938088
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2474187936692243,6.146064779797181,27.79472537304129,895.1644110894997,2203.94767421968,3481.0253187328262,4643.511338806054,5751.257657931036,7113.124865353889,6764.857479470203,6231.2757777981315,5624.1571274774915,5061.696327347614,6565.454422476614,7367.49178185625,7380.921089311415,7320.579369519273,7602.006400302823,9830.97086372014,11972.720662567592
EAF,steel,52917.94404530749,56074.0836359965,59583.49554462464,62921.609943069445,66259.72434154668,69597.83873992928,72935.95313840739,76274.06753685746,79614.06133019018,82955.51257493325,86187.8834374893,88491.85806299227,90725.47210093922,92752.33706894195,94653.80923937414,97223.20193487819,97601.0268105296,97771.11340321352,97883.12557216264,98116.50158389901,100657.23058568164,102367.90799710064,103177.31906341342,103902.42038437279,105014.77771669389,108356.22896131259,111597.39504290497
SMR,electricity,14829.574373128518,14718.47965759708,14873.66167829423,14639.094237251697,14414.871317800398,14068.794031460167,13585.651232696457,12967.971996331129,12326.58034789524,11597.200269998148,10764.561812022032,10741.380344113873,10672.732801656095,10576.481659741297,10455.439591877728,10052.31264888548,9732.780774305727,9795.928974412898,9855.279733975829,9860.41904338756,8586.82986537937,8394.83079037144,8183.782927850225,8163.619006520965,8165.165476257378,6489.967027594034,5785.081824156064
SMR,hydrogen,359069.59741231275,356379.65272632154,360137.08664150676,354457.48758478684,349028.36120582075,340648.7658949193,328950.3930434977,313994.4793300515,298464.4152032746,280803.8806294951,260643.14314823318,260081.84852575965,258419.6804275083,256089.14430366337,253158.34362900068,243397.40069940625,235660.55143597402,237189.56354510647,238626.62794130333,238751.06642584887,207913.55606245445,203264.6680477346,198154.55031114345,197666.3197704834,197703.76455829001,157142.05877951655,140074.6204396141
SMR_CCS,carbon,570.8020903639656,589.0442262939004,800.1253002906957,2070.892225899877,3216.2590103941952,5035.861277706091,7227.426688404138,8931.081101322576,10599.522842876642,12113.697256199674,12941.0967082579,12965.19776600083,12978.819224480194,13013.636916440168,13014.917736245936,13034.393417415322,12737.36305702686,12737.36305702686,12738.643876832628,12738.350424130027,12734.854471395713,12715.458445671706,12715.270914041203,12704.935148290793,12698.978947807975,19245.131148363216,21756.929743852023
SMR_CCS,electricity,50.737963587908055,52.35948678168004,71.12224891472852,184.07930896887794,285.8896898128173,447.63211357387473,642.4379278581457,793.8738756731178,942.1798082557016,1076.773089439971,1150.3197074007023,1152.4620236445182,1153.672819953795,1156.7677259057928,1156.8815765551944,1158.6127482146953,1132.2100495134987,1132.2100495134987,1132.3239001629004,1132.2978154782247,1131.9870641240634,1130.2629729485961,1130.2463034703292,1129.3275687369594,1128.7981286940424,1710.6783242989527,1933.9493105646245
SMR_CCS,hydrogen,3171.1227242442537,3272.4679238550025,4445.140557170533,11504.956810554871,17868.105613301082,27977.007098367172,40152.370491134105,49617.117229569856,58886.23801598135,67298.3180899982,71894.9817125439,72028.8764777824,72104.55124711219,72297.98286911205,72305.09853469965,72413.29676341846,70763.12809459366,70763.12809459366,70770.24376018127,70768.61346738905,70749.19150775396,70641.43580928726,70640.39396689557,70582.97304605997,70549.88304337765,106917.39526868454,120871.83191028902
anaerobic_digestion,biomethane,2799.195278465114,3524.936142404258,4038.2058146560184,5995.665738726516,9381.531105952496,25838.73544479549,79845.38123228478,96365.71784341047,116442.62050679233,130366.43207782069,147345.9895441879,149095.80094032,150965.16894259065,151404.38204601037,151864.28328422725,151942.56197361718,151869.1655327264,151746.80953613936,151548.63992658773,151325.97532822713,365041.7074284691,366218.7711513785,367287.1505456975,368193.58661261643,368761.8220119258,369339.4897502485,370661.7427799173
biomass_to_coal_conversion,coal_for_cement,76804.00599904348,77619.23668509093,78391.01827520528,79151.58392510412,79912.14957499893,80672.71522489373,81433.28087479564,82106.7645363591,82780.24819792381,83453.73185949892,84127.21552106501,84800.69918263059,85474.18284418406,86084.69501932994,86675.59604016715,87266.49706100601,87857.39808185109,88548.5434833502,89239.68888483188,89930.83428636251,90621.97968784507,91313.1250893363,92004.27049085118,92695.41589233986,93386.56129384694,93884.07929070407,94377.89441858434
