technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,14181.865435975675,14181.865435975675,13935.055274242939,13811.650193363233,13688.24511249867,13564.840031624011,13664.468009436478,14000.44193818206,14014.449997877291,14026.001171240963,13898.46758744186,13774.806480186164,13651.096677381674,13527.386874574444,13402.317997449349,13275.025688601336,13239.78594547188,13140.446506282928,13041.660497148257,12932.964860628079,12750.784282978297,12679.51909248249,12565.408781634595,12446.484594206533,12322.900604681821,14805.739209646365,15393.680512750901
ASU,oxygen,14150.665332016528,14150.665332016528,13904.398152639606,13781.264562937835,13658.130973251173,13534.997383554439,13634.406179815716,13969.640965918063,13983.61820788196,13995.143968664233,13867.890958749489,13744.501905929754,13621.064264691435,13497.62662345038,13372.83289785496,13245.820632086412,13210.658416391841,13111.537523969106,13012.96884405453,12904.512337934697,12722.732557555746,12651.624150479027,12537.764882314998,12419.10232809928,12295.79022335152,14773.166583385142,15359.81441562285
BF_BOF,steel,123618.49450167466,120485.916,117318.04258090533,114150.69742724302,110981.65990757196,107810.97790757194,104640.29590757196,101469.61390757195,98330.1934467067,95263.10643069861,92775.48358564214,91098.51866445385,89693.88529063079,88368.31719742503,86936.56998604946,84049.86875560504,83457.58488550482,82470.17077457724,82169.10523924418,82297.54247363078,82144.99657950351,82234.06300087404,82788.77656387183,83400.40276808933,84530.53725345829,81453.27515597989,79461.80674362637
BF_BOF_CCS,carbon,0.0,0.0,0.0,55279.45401209493,61641.33772256583,65792.91271249141,68218.30703574356,68180.48831633023,67880.66636853512,67143.05108480892,66860.40186237352,66860.40186237352,67147.85416908759,67275.31278515173,67350.99110631633,69823.5410077479,74841.99429048694,75269.8313022309,75864.21686191141,77050.12164049513,73943.81295525577,76122.734884996,79017.50939643149,79601.94510942225,80680.2994168756,77787.87777396079,75886.02544016318
BF_BOF_CCS,coal,0.0,0.0,0.0,9933.71788597346,11076.94838874508,11822.986414434707,12258.82977432312,12252.033750444543,12198.155746425762,12065.606279940162,12014.81421466852,12014.81421466852,12066.469394185038,12089.373707491766,12102.973101805044,12547.290319092299,13449.106374000503,13525.988685010894,13632.79977008548,13845.906858796974,13287.703188059462,13679.255458833779,14199.446438538738,14304.469536163177,14498.249805212543,13978.481635980756,13636.718771597323
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020728963527973307,0.02519277487188007,28.766868776602116,28.766868776602116,3119.1881453768115,3119.1881453768115,15947.540218528295,15947.540218528295,15947.540218528295,15947.578007690603,15947.578007690603,15947.637996974567,15967.847632011884,15967.727204873621,16019.2925223789,16097.947409436289,16195.759256130692,16296.364863137786,16563.72739213587,16628.06982956102
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2474187936692243,6.146064779797181,27.244695388681265,599.0874489169835,1642.2963984915064,2532.302982913111,3388.9959941385805,4109.834542376998,5259.744530657549,5190.351050730074,5526.020419827631,5271.831413598631,4635.591457452162,4131.923635379589,3466.348650460678,2436.74352755985,1357.3398436267294,808.0213469335405,1972.6149936607399,3215.4701998089754
EAF,steel,52941.50513432183,56074.0836359965,59583.49554462464,62921.609943069445,66261.41670755632,69602.86795227662,72944.31919709241,76285.77044188017,79595.96014746572,82833.81640821691,85492.20849801032,87339.94266399776,88915.34528262787,90411.68262054342,92014.19907672776,95071.66955196783,95834.72266680762,96992.90602254137,97464.74080262802,97507.07281298538,97830.38795189516,97912.09077535881,97528.14645705241,97087.28949763846,96127.92425706076,99375.95559915785,101538.19325633242
SMR,electricity,15664.151696431092,15446.750370242386,15205.22712470191,14595.770418724129,14183.30677129532,13639.60187126403,13029.779547172317,12223.346707997187,11399.52491923916,10399.68023646924,9304.412977040016,8631.604850845204,8102.136179436686,7938.808217356829,7691.771807255092,7145.255616108776,4615.254035439876,4737.048144832827,4811.31176418021,4720.829637579621,3850.370634725236,3125.8181392584997,2424.9862983336293,2230.3159749105316,2082.8309132374575,677.8249518852878,599.0421975881641
SMR,hydrogen,379277.2807852564,374013.32615598995,368165.30568285496,353408.48471486993,343421.47145993507,330256.703904698,315491.0301978769,295964.811331651,276017.5525239506,251808.238171168,225288.4498072643,208997.69614637297,196177.631463358,192222.9592580346,186241.44811755672,173008.6105595345,111749.4923835321,114698.50229619436,116496.65288571936,114305.80236270267,93229.31318947302,75685.66923144067,58716.37526231547,54002.80810921383,50431.7412406164,16412.22643790043,14504.653694628669
