technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,coal,96439.67851543434,93979.01448,91508.07321310615,89037.54399324956,86567.01477339365,84096.48555353704,81625.95633368044,79155.42711382384,76684.89789396724,74214.36867411065,71791.44275104413,69444.08711150408,67096.73147198746,64749.3758324396,62402.02019290735,60055.58711830341,58219.62396898155,56723.231144544865,54988.53906427902,53126.53465688399,50903.3630462741,49177.92614317008,47692.79180464969,46717.77287841751,46308.93974015142,43878.566102710596,41643.86814572154
BF_BOF,iron_ore,169387.6404694167,165065.70492,160725.71833584033,156386.45547532296,152047.1926148068,147707.92975428942,143368.66689377205,139029.40403325472,134690.14117273735,130350.87831221998,126095.22637042367,121972.30684969306,117849.38732900361,113726.46780825929,109603.5482875424,105482.24916932778,102257.5446634676,99629.26495900829,96582.43399751572,93311.99035888599,89407.18894025066,86376.61386685,83768.10868252574,82055.57544029743,81337.49672308647,77068.7635393763,73143.7171277417
BF_BOF,limestone,33382.96563995804,32531.19732,31675.87149684444,30820.68830535562,29965.50511386703,29110.321922378207,28255.138730889386,27399.955539400562,26544.77234791174,25689.589156422917,24850.884029207584,24038.337846289873,23225.791663380274,22413.24548045986,21600.699297544856,20788.472464028106,20152.946758493614,19634.964626957837,19034.494291481198,18389.954304305997,17620.394900633342,17023.128280328103,16509.043316994124,16171.536765606063,16030.017602360107,15188.734420169054,14415.18512736515
BF_BOF,scrap,15455.076685165757,15060.7395,14664.755322613166,14268.837178405378,13872.9190341977,13477.000889989911,13081.082745782121,12685.164601574334,12289.246457366544,11893.328313158756,11505.038902410917,11128.86011402309,10752.681325639016,10376.502537249935,10000.323748863359,9624.292807420417,9330.067943747043,9090.26140136937,8812.26587568574,8513.867733474997,8157.590231774695,7881.077907559307,7643.075609719502,7486.822576669472,7421.304445537086,7031.821490819006,6673.696818224606
BF_BOF_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,1078.1032085854715,1008.2638876239052,938.4245666623387,868.5852457007725,1078.1032085854715,1078.1032085854715,1078.1032085854715,1078.1032085854715,1078.1032085854715,1078.1032085854715,7492.288225665435,7492.288225665435,7507.075701870121,7526.45277454464,8559.189114405479,8578.806323473482,8591.916716078296,8593.058104031401,8502.992089889869,17875.583005431687,16963.55015529283
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8212314387570674,8.973254578503884,40.580299044640284,1368.3245724672204,4370.499391720422,7413.288742187508,10464.17119189225,13516.723092276521,16567.763996861013,18782.746786602023,20441.574332834134,22490.693288324317,24748.326984668776,27597.487735139788,29631.448371700746,31271.836538583186,32076.747219365265,32011.65015548364,35138.604861470936,38002.38087733054
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4179274946536746,16.840217496644275,76.15754752213314,2567.9515949042357,8202.170091310929,13912.610379173819,19638.239086153953,25367.000871806624,31092.92695301314,35249.81246252709,38362.95456983941,42208.56137671824,46445.49036848798,51792.54547553632,55609.704478397296,58688.24117514927,60198.826973329335,60076.65851097615,65945.05295919889,71319.5367149902
EAF,direct_reduced_iron,52919.386154670436,56074.0836359965,59583.49554462464,62921.609943069445,66259.72434154668,69597.83873992928,72935.95313840739,76274.06753685746,79612.18193524008,82950.29633364547,86227.38086436513,89407.58041626691,92587.77996814653,95767.97951996897,98948.17907187037,102127.19584820952,104651.76400233612,106740.98558616366,109135.71903638628,111693.67341881618,114714.66267720111,117097.5305157584,119172.31814316825,120593.111652372,121288.02594622236,124574.6588285857,127610.42545416194
EAF,electricity,44452.28436992317,47102.23025423706,50050.13625748469,52854.15235217834,55658.1684468992,58462.1845415406,61266.200636262205,64070.21673096026,66874.23282560166,69678.24892026218,72430.99992606671,75102.3675496642,77773.73517324308,80445.10279677392,83116.4704203711,85786.844512496,87907.48176196232,89662.42789237747,91674.00399056447,93822.6856718056,96360.31664884892,98361.92563323706,100104.74724026132,101298.21378799247,101881.94179482678,104642.71341601197,107192.75738149603
SMR,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.01239214140094,377.01239214140094,2701.94535
anaerobic_digestion,wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22192.745439797527,23868.858639881288,25241.829501882337,25929.91475005532,25953.265638312703,28507.11199125783,30942.28359523071
biomethane_DRI,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51043.62077325895,54898.70426395254,58056.55619366654,59639.16176009779,59315.856733192566,65189.73858825748,68465.73392510628
