technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,steel,123640.61348132606,120485.916,117318.04258090533,114150.69742724302,110983.3522735816,107816.00711991929,104648.66196625697,101481.31681259467,98313.97165893235,95146.62650527005,92040.31121928734,89030.88091218472,86021.45060511213,83012.02029799948,80002.58999090687,76994.34245936334,74640.54354997634,72722.09121095495,70498.12700548592,68110.94186779998,65260.72185419756,63048.62326047446,61144.60487775601,59894.58061335578,59370.43556429669,56254.571926552046,53389.57454579685
BF_BOF_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,3222.0657758083426,3013.340967196369,2804.6161585843956,2595.891349972422,3222.0657758083426,3222.0657758083426,3222.0657758083426,3222.0657758083426,3222.0657758083426,3222.0657758083426,22391.775928468127,22391.775928468127,22435.970418021876,22493.881573654035,25580.361967739027,25638.990805360078,25678.173090491022,25681.584291785417,25412.409115032482,53423.73880882154,50697.998073200324
BF_BOF_CCS,coal,0.0,0.0,0.0,0.0,0.0,0.0,579.0052199127592,541.4973718051876,503.9895236976159,466.4816755900443,579.0052199127592,579.0052199127592,579.0052199127592,579.0052199127592,579.0052199127592,579.0052199127592,4023.802134345722,4023.802134345722,4031.7438841185312,4042.1505187856296,4596.791045602703,4607.3266477232055,4614.367704361236,4614.980697233839,4566.609917971337,9600.24586394523,9110.430253754099
DAC,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2474187936692243,6.146064779797181,27.79472537304129,937.208611278918,2993.4927340550835,5077.595028895554,7167.240542391953,9258.029515257891,11347.783559493844,12864.895059316454,14001.078310160367,15404.584444057751,16950.90889360875,18902.388859684786,20295.512583356678,21419.06612231725,21970.37480778443,21925.78777772852,24067.537576349958,26029.02799817161
EAF,steel,52919.386154670436,56074.0836359965,59583.49554462464,62921.609943069445,66259.72434154668,69597.83873992928,72935.95313840739,76274.06753685746,79612.18193524008,82950.29633364547,86227.38086436513,89407.58041626691,92587.77996814653,95767.97951996897,98948.17907187037,102127.19584820952,104651.76400233612,106740.98558616366,109135.71903638628,111693.67341881618,114714.66267720111,117097.5305157584,119172.31814316825,120593.111652372,121288.02594622236,124574.6588285857,127610.42545416194
SMR,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.25396980476797,52.25396980476797,374.48999999999995
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.644797315979376,4.644797315979376,33.288
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.2998322487109,290.2998322487109,2080.5
anaerobic_digestion,biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51043.62077325895,54898.704263952546,58056.55619366654,59639.16176009779,59692.869125333964,65566.7509803989,71167.67927510629
biomethane_DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51043.62077325895,54898.70426395254,58056.55619366654,59639.16176009779,59315.856733192566,65189.73858825748,68465.73392510628
biomethane_SMR,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.01239214140094,377.01239214140094,2701.94535
carbon_evaporation,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquefaction,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,3222.0657758083426,3013.340967196369,2804.6161585843956,2595.891349972422,3222.0657758083426,3222.0657758083426,3222.0657758083426,3222.0657758083426,3222.0657758083426,3222.0657758083426,22391.775928468127,22391.775928468127,22435.970418021876,22493.881573654035,25580.361967739027,25638.990805360078,25678.173090491022,25681.584291785417,25464.66308483725,53475.99277862631,51164.710762331306
electrolysis,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.714315548445285,10.724095804122229,28.406633615841546,0.0,5.142946644192157
electrolysis,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010695614706750133,0.06690763372191859,0.1772289871292354,0.0,0.03208684411311486
gasification,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.94050354893596,442.47362622872913,442.47362622872913,442.47362622872913,442.47362622872913,442.47362622872913,442.47362622872913
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.22268913098301
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.39963886313683
h2_to_ng,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.94050354893596,442.47362622872913,444.18794177717444,453.19772203285135,759.728592932038,731.3219593161965,2817.1770447686363
hydrogen_compressor_low,hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.8483330874674,288.8483330874674,2256.4942265169266
hydrogen_decompressor,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.8483330874674,288.8483330874674,2256.4942265169266
pv_ground,electricity,35983.516519792116,38220.81990209978,40717.424272140845,43491.97573945435,46354.069992907054,48795.5102570563,52926.3493178238,55311.80235357562,57697.255389248705,60082.708424955636,62842.42174048265,65321.43984619316,67832.86316134507,70366.37147157153,72899.87978186569,75432.39456069565,85710.58905671224,87436.17579268618,89307.48479505494,91308.58964904185,95069.26451192668,97157.762309886,98977.07055307651,100242.38779682019,100833.5841517577,112264.2958201101,113527.70024692455
scrap_conversion_BF_BOF,coal,185.85844934783168,0.0,0.0,0.0,0.0,0.0,5907.393445696418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,iron_ore,351.62409336076263,0.0,0.0,0.0,0.0,0.0,11176.149762128358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,limestone,30.139208002351083,0.0,0.0,0.0,0.0,0.0,957.9556938967164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_EAF,direct_reduced_iron,52919.386154670436,56074.0836359965,59583.49554462464,62921.609943069445,66259.72434154668,69597.83873992928,72935.95313840739,76272.82011806378,79606.03587046027,82922.50160827242,85290.17225308622,86414.08768221183,87510.18493925098,88600.73897757701,89690.14955661248,90779.41228871568,91786.86894301965,92739.90727600329,93731.13459232853,94742.76452520743,95812.27381751631,96802.01793240172,97753.252020851,98622.73684458758,99362.23816849384,100507.12125223574,101581.39745599033
wind_offshore,electricity,1999.9035680693187,2078.8959920693187,2166.3842067240766,2249.6245260440974,2314.4432787872784,2379.2620315378176,2444.0807842809986,2508.899537024179,2573.7182897747184,2638.537042517899,2703.35579526108,2768.174548004261,2832.9933007547997,2897.8120534979807,2962.6308062411617,3027.4495589843423,3064.631699795515,3064.631699795515,3064.631699795515,3064.631699795515,3064.631699795515,3064.631699795515,3064.631699795515,3064.631699795515,3064.631699795515,3786.385626929533,3822.4905982634336
