carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,96253.8200660865,93979.01448,91508.07321310615,89037.54399324956,86567.01477339365,84096.48555353704,75139.55766807127,78613.92974201865,76180.90837026962,73747.8869985206,71212.43753113136,68865.08189159131,66517.7262520747,64170.370612526836,61823.0149729946,59476.58189839066,54195.821834635826,52699.42901019914,50956.795180160494,49084.38413809836,46306.5720006714,44570.59949544687,43078.42410028845,42102.79218118367,41742.32982218008,34278.320238765366,32533.437891967445
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.4834381740789,713.6657117443173,713.6657117443173,713.6657117443172,713.6657117443172,713.6657117443172,1198.1802892666706
electricity,1700.0311130558887,1809.2867830621208,1938.4580663414456,1386.2794418328124,1142.5790161722928,693.8760736024317,633.1344654491468,805.6608894004943,978.1873133518421,1150.7137373105472,1271.975072404411,1311.8530252456276,1351.7309780689727,1391.6089309112401,1431.4868837514045,1471.364836584211,1521.7613478086157,1551.1207422498242,1710.1886648623683,1882.7150888137157,2055.241512765062,1998.9977375968174,1942.753962430675,1886.5101872718906,1792.587758194099,3943.5893368743523,3994.542029810702
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,169036.01637605595,165065.70492,160725.71833584033,156386.45547532296,152047.1926148068,147707.92975428942,132192.51713164372,139031.22526469346,134699.11442731586,130391.45861126462,127463.55094289088,126342.80624141349,125262.67607119112,124190.63900015154,123120.27137981894,122050.0131661888,121040.29145006962,120070.83929184242,119073.12728584003,118060.31734355477,117004.67667539045,116008.06223855076,115039.94522110892,114132.32265966269,113349.14687857011,112207.36840084725,111146.09800507223
limestone,33352.826431955684,32531.19732,31675.87149684444,30820.68830535562,29965.50511386703,29110.321922378207,27297.18303699267,27399.955539400562,26544.77234791174,25689.589156422917,24850.884029207584,24038.337846289873,23225.791663380274,22413.24548045986,21600.699297544856,20788.472464028106,20152.946758493614,19634.964626957837,19034.494291481198,18389.954304305997,17620.394900633342,17023.128280328103,16509.043316994124,16171.536765606063,16030.017602360107,15188.734420169054,14415.18512736515
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4179274946536746,16.840217496644275,76.15754752213314,2567.9515949042357,8202.170091310929,13912.610379173819,19638.239086153953,25367.000871806624,31092.92695301314,35249.81246252709,38362.95456983941,42208.56137671824,46445.49036848798,362.9841987284319,268.52658821602506,187.49703970555655,106.46749119869322,1.073184851548714,23.992411625208558,36.62574511528491
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,68625.62290652245,71134.8231359965,74248.2508672378,77190.44712147482,80132.64337574437,83074.8396299192,93999.99999999547,88957.98471963812,91895.28232782682,94815.82992143118,96795.21115549713,97542.9477962349,98262.86626488999,98977.24151482695,99690.47330547583,100403.70509613611,101116.93688676669,101830.16867737265,102543.40046801427,103256.63225868242,103969.86404929102,104683.09583996102,105396.3276305705,106109.55942125704,106783.54261403091,107538.94274305474,108255.09427421493
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22192.745439797527,23868.858639881288,25241.829501882337,25929.91475005532,25953.265638312703,28507.11199125783,30942.28359523071
